,,,September 2019,,,,,,,,,,,,,,September 2019,,,,,,,,,,,,,,September 2019,,,,,,,,,,,
900,"CATUBIG, NORTHERN SAMAR",8,1.6,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.6,900,"CATUBIG, NORTHERN SAMAR","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,900,"CATUBIG, NORTHERN SAMAR","8",,,,0.0,0.0,0.0,0.0,,,,0,1.6
367,"PLARIDEL, MISAMIS OCCIDENTAL",10,,,,,,,,,,,,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",,,,,,,,,,,,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",,,,,,,,,,,,
853,"BANGA, AKLAN",6,,,,,,,,,,,,853,"BANGA, AKLAN","6",,,,,,,,,,,,853,"BANGA, AKLAN","6",,,,,,,,,,,,
318,"UBAY, BOHOL",7,18.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,318,"UBAY, BOHOL","7",1.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,318,"UBAY, BOHOL","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31.2
880,"T'BOLI, SOUTH COTABATO",12,14.8,0.0,69.0,0.0,0.0,,,0.0,0.0,0.0,83.8,880,"T'BOLI, SOUTH COTABATO","12",0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,880,"T'BOLI, SOUTH COTABATO","12",0.0,,0.6,0.0,0.0,0.0,0.0,,,0.0,0.6,87.8
916,"MAGALANG, PAMPANGA",3,7.2,46.8,18.0,0.2,30.0,35.4,23.0,106.6,78.2,0.0,345.4,916,"MAGALANG, PAMPANGA","3",0.0,0.0,0.0,0.0,4.2,0.0,0.0,51.4,76.8,52.0,184.4,916,"MAGALANG, PAMPANGA","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,529.8
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,2.2,0.4,0.0,0.0,0.0,,,0.0,0.0,0.0,2.6,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",0.0,,0.0,0.0,0.6,0.0,0.0,,,0.0,0.6,3.6
342,"PAMPLONA, CAMARINES SUR",5,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,342,"PAMPLONA, CAMARINES SUR","5",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,342,"PAMPLONA, CAMARINES SUR","5",0.0,,0.0,0.0,,0.0,,,,,0,0
348,"BAIS, NEGROS ORIENTAL",7,,,,,,,,,,,,348,"BAIS, NEGROS ORIENTAL","7",,,19.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,348,"BAIS, NEGROS ORIENTAL","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.2
929,"PALAYAN CITY, NUEVA ECIJA",3,,,,,,,,,,,,929,"PALAYAN CITY, NUEVA ECIJA","3",,,,,,,,,,,,929,"PALAYAN CITY, NUEVA ECIJA","3",,,,,,,,,,,,
1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,0.0,0.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.6,2,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",0.0,0.4,,0.0,0.0,6.6,11.6,,,,18.6,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",0.0,,,,,,,,,,0,20.6
876,"ABULUG, CAGAYAN",2,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,876,"ABULUG, CAGAYAN","2",5.4,12.8,2.0,0.0,0.0,4.2,15.8,63.0,11.2,0.0,114.4,876,"ABULUG, CAGAYAN","2",0.0,,3.6,0.0,6.8,39.4,0.0,,,0.2,50,164.4
357,"POLANCO, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,
1143,"MASBATE, MASBATE",5,29.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,31,1143,"MASBATE, MASBATE","5",72.2,0.0,3.4,9.6,7.8,0.0,26.6,0.2,0.0,0.0,119.8,1143,"MASBATE, MASBATE","5",0.0,0.0,0.0,0.0,0.0,7.8,0.8,0.0,4.0,0.0,12.6,163.4
344,"LABO, CAMARINES NORTE",5,,0.0,,,0.0,,,0.0,,0.0,0,344,"LABO, CAMARINES NORTE","5",,,,,,,,,,,,344,"LABO, CAMARINES NORTE","5",,,,,,,,,,,,0
922,"ROXAS PALAWAN, PALAWAN",4-B,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.2,3,922,"ROXAS PALAWAN, PALAWAN","4-B",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,2.2,922,"ROXAS PALAWAN, PALAWAN","4-B",0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.4,2.6,7.8
329,"SAN ANTONIO, QUEZON",4-A,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.2,0.0,2.6,329,"SAN ANTONIO, QUEZON","4-A",1.0,7.8,13.2,19.0,2.8,4.6,0.8,3.6,3.4,9.4,65.6,329,"SAN ANTONIO, QUEZON","4-A",0.0,0.0,0.0,0.0,0.0,5.4,0.0,15.6,0.0,0.0,21,89.2
378,"BABATNGON, LEYTE",8,,,,,,,,,,,,378,"BABATNGON, LEYTE","8",,,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,378,"BABATNGON, LEYTE","8",0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,3.8,6.2
354,"NAVAL, BILIRAN",8,0.6,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.6,354,"NAVAL, BILIRAN","8",0.0,3.0,0.6,0.2,0.0,,0.0,,0.0,0.0,3.8,354,"NAVAL, BILIRAN","8",,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,4.4
899,"CAN-AVID, EASTERN SAMAR",8,0.0,0.0,0.0,,,,,0.0,0.0,0.8,0.8,899,"CAN-AVID, EASTERN SAMAR","8",3.8,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,899,"CAN-AVID, EASTERN SAMAR","8",0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,5
363,"SULOP, POBLACION, DAVAO DEL SUR",11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,363,"SULOP, POBLACION, DAVAO DEL SUR","11",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,363,"SULOP, POBLACION, DAVAO DEL SUR","11",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
870,"LANAO DEL NORTE, LANAO DEL NORTE",10,3.0,1.2,0.4,0.0,0.0,,,0.0,0.0,0.0,4.6,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",1.4,0.0,4.8,10.2,0.0,1.8,0.0,0.0,0.0,0.0,18.2,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",0.0,,20.6,0.0,0.0,2.0,0.0,,,0.2,22.8,45.6
898,"SAN MIGUEL, LEYTE",8,,,,,,,,,,,,898,"SAN MIGUEL, LEYTE","8",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,898,"SAN MIGUEL, LEYTE","8",,,0.0,0.0,0.2,0.0,0.0,,,0.0,0.2,0.2
902,"GERONA, TARLAC",3,,,,,,,,,,,,902,"GERONA, TARLAC","3",,,,,,,,,,,,902,"GERONA, TARLAC","3",,,,,,,,,,,,
987,"BASILAN, ISABELA CITY",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,987,"BASILAN, ISABELA CITY","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,987,"BASILAN, ISABELA CITY","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
376,"PIGCAWAYAN, COTABATO",12,0.0,0.0,0.0,0.0,0.4,,,0.0,0.0,0.0,0.4,376,"PIGCAWAYAN, COTABATO","12",4.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,376,"PIGCAWAYAN, COTABATO","12",,,0.0,0.0,2.4,0.0,,,,0.0,2.4,7.2
919,"PATNONGON, ANTIQUE",6,9.8,4.0,8.2,8.4,5.6,,,0.2,0.0,0.0,36.2,919,"PATNONGON, ANTIQUE","6",42.8,362.8,261.2,537.8,431.4,777.8,508.2,390.4,473.2,359.2,4144.8,919,"PATNONGON, ANTIQUE","6",0.0,,0.2,0.8,250.4,391.6,0.0,,,396.6,1039.6,5220.6
918,"SAN LUIS, AURORA",3,,,,,,,,,,,,918,"SAN LUIS, AURORA","3",,,,,,,,,,,,918,"SAN LUIS, AURORA","3",,,,,,,,,,,,
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,0.2,0.0,0.0,0.0,0.8,,,0.0,0.0,1.0,2,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",36.4,51.2,6.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,94.6,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",0.0,,0.0,0.0,3.4,0.0,0.0,,,0.0,3.4,100
349,"SIQUIJOR, SIQUIJOR",7,4.4,0.0,0.0,0.0,0.0,33.6,0.0,0.0,0.0,0.0,38,349,"SIQUIJOR, SIQUIJOR","7",29.0,3.2,,,0.0,0.0,,,,,32.2,349,"SIQUIJOR, SIQUIJOR","7",0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,,0.0,19.2,89.4
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",,,,,0.0,,,,,,0,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,0
924,"PANIT-AN, CAPIZ",6,,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,
872,"KALILANGAN, BUKIDNON",10,31.8,0.0,4.6,31.4,0.0,0.6,0.0,0.0,0.0,0.0,68.4,872,"KALILANGAN, BUKIDNON","10",0.0,2.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,872,"KALILANGAN, BUKIDNON","10",0.0,,0.0,0.0,0.8,8.8,0.0,,,1.4,11,83
340,"SUAL, PANGASINAN",1,2.4,8.2,0.0,0.2,2.0,,19.8,33.8,6.0,3.2,75.6,340,"SUAL, PANGASINAN","1",0.0,1.8,0.0,0.0,23.6,0.0,1.8,1.8,7.8,2.6,39.4,340,"SUAL, PANGASINAN","1",0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,115
359,"IPIL, ZAMBOANGA SIBUGAY",9,,,,,,,,,,,,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,,,0.0,0.0,0.0,,0,359,"IPIL, ZAMBOANGA SIBUGAY","9",,0.0,1.4,,,,,,,,1.4,1.4
896,"BARILI, CEBU",7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,896,"BARILI, CEBU","7",7.0,3.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,896,"BARILI, CEBU","7",0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,17,34.8
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,1.6,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.6,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,,0.0,0.0,0.0,15.6,0.0,,,0.0,15.6,17.2
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,0.0,0.0,0.2,0.0,0.0,,,0.6,0.0,0.0,0.8,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.6,0.6,39.6,0.2,6.8,12.4,6.8,32.4,3.8,8.0,111.2,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.0,,1.6,0.0,0.0,0.0,0.0,,,0.0,1.6,113.6
1141,"STA. BARBARA - ILOILO, ILOILO",6,0.0,0.5,0.0,0.0,0.0,,,0.0,0.0,0.0,0.5,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.2,0.4,1.3,1.2,0.2,2.2,4.0,1.1,0.0,0.0,10.6,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,11.1
903,"BOTOLAN, ZAMBALES",3,,,,,,,,,,,,903,"BOTOLAN, ZAMBALES","3",,,,,,,,,,,,903,"BOTOLAN, ZAMBALES","3",,,,,,,,,,,,
927,"BAGO CITY, NEGROS OCCIDENTAL",6,31.2,0.0,0.0,0.0,0.0,,,0.2,0.0,0.0,31.4,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.4,17.8,29.4,24.4,0.2,0.2,1.4,1.0,4.6,0.0,79.4,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.0,,0.0,2.4,0.0,0.0,0.0,,,1.8,4.2,115
316,"STO TOMAS, DAVAO DEL NORTE",11,0.0,0.0,0.0,0.0,0.8,,,0.0,0.0,0.0,0.8,316,"STO TOMAS, DAVAO DEL NORTE","11",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,316,"STO TOMAS, DAVAO DEL NORTE","11",,,0.0,0.0,3.2,0.0,0.0,,,0.0,3.2,4
879,"TACURONG CITY, SULTAN KUDARAT",12,,,,,,,,,,,,879,"TACURONG CITY, SULTAN KUDARAT","12",,,,,,,,,,,,879,"TACURONG CITY, SULTAN KUDARAT","12",,,,0.0,0.0,0.0,1.0,,,0.0,1,1
866,"GUINSILIBAN, CAMIGUIN",10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,866,"GUINSILIBAN, CAMIGUIN","10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,866,"GUINSILIBAN, CAMIGUIN","10",0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
372,"ROXAS, ISABELA",2,0.2,2.4,0.2,0.0,0.0,0.0,11.6,0.8,0.0,0.4,15.6,372,"ROXAS, ISABELA","2",0.2,48.0,0.0,0.0,0.0,3.0,16.0,26.6,10.2,0.0,104,372,"ROXAS, ISABELA","2",0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,119.6
890,"ESPERANZA, AGUSAN DEL SUR",13,,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,28.8,0.0,7.4,0.2,0.0,,,0.0,0.2,0.2,36.8,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",12.8,36.2,1.4,9.8,10.0,30.4,7.2,1.2,27.0,21.6,157.6,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",1.2,,0.0,0.0,0.2,0.0,0.0,,,0.0,1.4,195.8
917,"CALINOG, ILOILO",6,6.2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,6.2,917,"CALINOG, ILOILO","6",1.4,1.6,8.6,6.0,1.0,0.0,1.2,0.2,0.0,0.0,20,917,"CALINOG, ILOILO","6",0.0,,6.0,0.0,0.0,0.0,0.0,,,0.4,6.4,32.6
1128,"ALCANTARA, ROMBLON",4-B,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,1128,"ALCANTARA, ROMBLON","4-B",0.0,0.0,,0.0,1.0,0.0,,,,0.0,1,1128,"ALCANTARA, ROMBLON","4-B",,,0.0,,0.0,0.0,,,,,0,1
503,"AGLIPAY, QUIRINO",2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,503,"AGLIPAY, QUIRINO","2",0.0,75.6,0.0,0.0,3.4,21.0,4.2,36.8,3.6,0.0,144.6,503,"AGLIPAY, QUIRINO","2",0.0,0.0,0.8,5.8,2.6,8.0,0.0,0.0,0.4,0.0,17.6,162.8
1324,"VILLAREAL, SAMAR",8,0.0,0.0,0.0,0.0,,,,0.2,0.0,0.2,0.4,1324,"VILLAREAL, SAMAR","8",0.4,0.0,2.6,72.4,25.2,0.0,0.0,0.0,0.0,0.0,100.6,1324,"VILLAREAL, SAMAR","8",0.0,,11.6,0.0,1.6,0.0,0.0,,,0.0,13.2,114.2
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,24.0,2.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",22.4,0.8,4.6,3.4,1.4,0.0,13.6,10.8,0.2,1.6,58.8,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.8,86.2
626,"KIAMBA, SARANGANI",12,,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,,,,
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,
351,"CARMEN, BOHOL",7,,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,0.0,1.2,4.6,0.0,0.0,,,0.0,0.0,0.0,5.8,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.0,0.8,61.4,1.0,0.0,0.0,0.4,5.8,0.0,2.4,71.8,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,77.6
328,"AYUTI, QUEZON",4-A,1.8,0.0,1.6,0.0,0.0,,,0.0,0.0,0.0,3.4,328,"AYUTI, QUEZON","4-A",1.0,4.0,1.2,6.0,1.2,0.6,0.0,2.4,3.0,4.4,23.8,328,"AYUTI, QUEZON","4-A",0.0,,0.0,0.0,0.0,0.0,1.6,,,0.0,1.6,28.8
865,"ILAGAN, ISABELA",2,0.0,1.2,0.2,0.0,,0.0,0.0,2.2,0.0,0.0,3.6,865,"ILAGAN, ISABELA","2",0.0,175.2,0.0,0.0,17.4,,64.0,34.4,12.2,0.0,303.2,865,"ILAGAN, ISABELA","2",0.0,,0.0,0.0,12.4,0.2,0.0,0.0,8.6,0.0,21.2,328
934,"KAPATAGAN, LANAO DEL SUR",ARMM,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,
358,"DUMINGAG, ZAMBOANGA DEL SUR",9,,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,
338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,0.0,2.4,4.2,5.8,3.6,7.8,3.6,24.8,139.2,0.0,191.4,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",0.0,0.0,2.2,1.8,1.6,18.0,24.2,19.0,11.6,1.2,79.6,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,45.6,0.6,0.0,,,4.8,51,322
353,"MALITBOG, SOUTHERN LEYTE",8,0.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.2,353,"MALITBOG, SOUTHERN LEYTE","8",0.0,6.6,2.2,,0.0,0.0,0.0,,0.0,,8.8,353,"MALITBOG, SOUTHERN LEYTE","8",,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,9
333,"BUCAY, ABRA",CAR,,0.0,,0.0,0.0,,,,,,0,333,"BUCAY, ABRA","CAR",0.2,0.6,,0.0,0.0,0.0,0.0,20.6,12.6,1.2,35.2,333,"BUCAY, ABRA","CAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,35.2
1080,"SABLAYAN, OCCIDENTAL MINDORO",4-B,9.6,0.0,2.8,0.0,0.0,,,3.8,0.0,0.0,16.2,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",0.0,0.0,21.6,0.0,29.0,0.0,40.0,8.4,2.2,1.2,102.4,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",0.0,,0.0,0.0,0.0,0.0,0.0,,,0.4,0.4,119
365,"BANAYBANAY, DAVAO ORIENTAL",11,10.8,0.0,30.2,0.8,68.8,,,0.0,0.0,0.0,110.6,365,"BANAYBANAY, DAVAO ORIENTAL","11",0.0,4.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,365,"BANAYBANAY, DAVAO ORIENTAL","11",0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,119.2
867,"DANGCAGAN, BUKIDNON",10,,,,,,,,,,,,867,"DANGCAGAN, BUKIDNON","10",,,,,,,,,,,,867,"DANGCAGAN, BUKIDNON","10",,,,,,,,,,,,
