,,,August 2019,,,,,,,,,,,,,,August 2019,,,,,,,,,,,,,,August 2019,,,,,,,,,,,,
880,"T'BOLI, SOUTH COTABATO",12,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,880,"T'BOLI, SOUTH COTABATO","12",0.0,0.0,0.0,3.6,4.0,9.6,5.4,5.4,9.8,3.4,41.2,880,"T'BOLI, SOUTH COTABATO","12",0.0,0.0,0.0,2.0,4.2,3.0,2.4,0.8,0.0,13.0,6.8,32.2,74.4
916,"MAGALANG, PAMPANGA",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,916,"MAGALANG, PAMPANGA","3",0.0,0.0,0.0,0.0,0.2,3.6,0.4,3.0,0.2,0.0,7.4,916,"MAGALANG, PAMPANGA","3",0.8,3.4,27.8,84.6,12.2,5.8,5.6,9.6,48.4,5.6,40.8,244.6,252
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,9.0,10.4,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",0.2,0.0,0.0,0.0,0.0,12.2,1.4,0.0,0.0,4.2,4.0,22,32.8
342,"PAMPLONA, CAMARINES SUR",5,0.0,2.0,0.0,0.0,0.4,0.8,0.8,0.2,0.0,0.0,4.2,342,"PAMPLONA, CAMARINES SUR","5",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,342,"PAMPLONA, CAMARINES SUR","5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.6,1.4,6.6
348,"BAIS, NEGROS ORIENTAL",7,0.0,0.0,10.2,2.2,29.4,14.6,4.0,1.6,0.0,0.0,62,348,"BAIS, NEGROS ORIENTAL","7",0.0,0.0,0.0,0.0,0.0,0.0,0.4,11.8,4.2,10.4,26.8,348,"BAIS, NEGROS ORIENTAL","7",0.0,22.4,0.4,0.0,0.0,,,,,,,22.8,111.6
929,"PALAYAN CITY, NUEVA ECIJA",3,,,,,,,,,,,,929,"PALAYAN CITY, NUEVA ECIJA","3",,,,,,,,,,,,929,"PALAYAN CITY, NUEVA ECIJA","3",,,,,,,,,,,,,
1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,18.6,0.0,0.0,0.0,0.6,19.2,0.0,0.0,0.0,0.0,38.4,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,21.6,15.2,39,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",77.0,0.0,7.4,0.0,0.0,11.8,20.0,,,,,116.2,193.6
876,"ABULUG, CAGAYAN",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,876,"ABULUG, CAGAYAN","2",0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.4,876,"ABULUG, CAGAYAN","2",0.0,0.0,2.2,,0.0,0.0,,0.0,0.0,0.0,0.0,2.2,3.8
357,"POLANCO, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,,
1143,"MASBATE, MASBATE",5,0.0,3.6,9.2,1.6,1.8,1.8,0.0,0.0,0.0,0.0,18,1143,"MASBATE, MASBATE","5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.8,2,1143,"MASBATE, MASBATE","5",6.8,12.0,0.2,0.0,0.2,6.0,17.2,0.2,10.4,14.0,44.8,111.8,131.8
344,"LABO, CAMARINES NORTE",5,0.0,0.0,,0.0,,,,,,,0,344,"LABO, CAMARINES NORTE","5",,,,0.0,0.0,0.0,,,,,0,344,"LABO, CAMARINES NORTE","5",,0.0,0.0,0.0,,,0.0,,,0.0,,0,0
922,"ROXAS PALAWAN, PALAWAN",4-B,0.4,0.6,0.4,0.2,0.2,0.2,0.4,0.2,0.4,0.2,3.2,922,"ROXAS PALAWAN, PALAWAN","4-B",0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.0,3.2,922,"ROXAS PALAWAN, PALAWAN","4-B",0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.4,4,10.4
329,"SAN ANTONIO, QUEZON",4-A,0.0,17.4,24.6,2.0,2.8,2.4,0.4,,,,49.6,329,"SAN ANTONIO, QUEZON","4-A",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,329,"SAN ANTONIO, QUEZON","4-A",0.4,0.0,0.0,0.8,22.4,20.2,1.2,3.8,0.0,0.8,7.8,57.4,107
378,"BABATNGON, LEYTE",8,0.0,0.0,0.4,0.0,0.0,,,,,,0.4,378,"BABATNGON, LEYTE","8",,,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.6,3.4,378,"BABATNGON, LEYTE","8",0.0,0.0,0.0,,,,0.0,0.0,,,,0,3.8
354,"NAVAL, BILIRAN",8,0.0,0.6,2.2,0.0,0.0,,,,,,2.8,354,"NAVAL, BILIRAN","8",,,,0.0,0.0,0.0,0.0,0.0,,0.2,0.2,354,"NAVAL, BILIRAN","8",0.0,3.4,0.0,0.0,0.0,1.4,0.0,0.0,2.0,0.8,0.0,7.6,10.6
899,"CAN-AVID, EASTERN SAMAR",8,0.4,0.0,0.2,0.0,0.0,0.0,,,,,0.6,899,"CAN-AVID, EASTERN SAMAR","8",,,,,0.0,0.0,0.0,0.0,0.0,0.6,0.6,899,"CAN-AVID, EASTERN SAMAR","8",0.6,0.0,0.2,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,2.4,3.6
363,"SULOP, POBLACION, DAVAO DEL SUR",11,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,363,"SULOP, POBLACION, DAVAO DEL SUR","11",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,363,"SULOP, POBLACION, DAVAO DEL SUR","11",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
870,"LANAO DEL NORTE, LANAO DEL NORTE",10,0.4,,,,,,,,0.0,0.0,0.4,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",0.0,0.0,0.0,13.8,0.2,0.0,0.0,0.0,0.0,38.4,52.4,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",10.2,0.0,3.0,0.0,0.0,2.2,60.2,5.2,0.0,1.2,2.2,84.2,137
898,"SAN MIGUEL, LEYTE",8,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,898,"SAN MIGUEL, LEYTE","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,898,"SAN MIGUEL, LEYTE","8",0.0,0.0,0.0,,,,,,,,,0,0.8
902,"GERONA, TARLAC",3,,,,,,,,,,,,902,"GERONA, TARLAC","3",,,,,,,,,,,,902,"GERONA, TARLAC","3",,,,,,,,,,,,,
987,"BASILAN, ISABELA CITY",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,987,"BASILAN, ISABELA CITY","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,987,"BASILAN, ISABELA CITY","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
376,"PIGCAWAYAN, COTABATO",12,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,376,"PIGCAWAYAN, COTABATO","12",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1.0,7.2,8.8,376,"PIGCAWAYAN, COTABATO","12",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,1.2,1.6,10.6
919,"PATNONGON, ANTIQUE",6,3.0,17.6,24.4,20.8,4.8,98.4,915.4,659.8,190.4,246.6,2181.2,919,"PATNONGON, ANTIQUE","6",61.0,0.2,0.0,6.0,38.4,210.8,302.0,25.2,0.2,166.0,809.8,919,"PATNONGON, ANTIQUE","6",213.6,708.6,388.0,296.8,181.8,499.2,111.0,9.2,7.8,10.0,9.0,2435,5426
918,"SAN LUIS, AURORA",3,,,,,,,,,,,,918,"SAN LUIS, AURORA","3",,,0.0,0.0,,,,,,,0,918,"SAN LUIS, AURORA","3",,,,,,,,,,,,,0
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,18.2,42.8,1.4,4.2,0.0,0.0,0.0,0.0,0.0,0.0,66.6,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",0.0,0.2,0.0,0.0,0.0,0.0,3.0,4.8,4.6,19.6,32.2,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",0.4,0.0,0.0,0.0,1.2,37.8,0.0,5.2,0.0,7.0,18.4,70,168.8
349,"SIQUIJOR, SIQUIJOR",7,0.0,0.0,0.0,0.8,0.0,5.6,0.0,0.0,0.0,0.0,6.4,349,"SIQUIJOR, SIQUIJOR","7",0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,349,"SIQUIJOR, SIQUIJOR","7",0.0,5.0,0.0,0.0,0.0,0.0,28.6,0.0,0.0,0.0,0.0,33.6,40
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",,,,,,,,,0.0,,0,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,,0
924,"PANIT-AN, CAPIZ",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,,0
872,"KALILANGAN, BUKIDNON",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,872,"KALILANGAN, BUKIDNON","10",0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.6,2.0,7.8,25.4,872,"KALILANGAN, BUKIDNON","10",0.0,0.0,0.0,0.0,0.0,7.8,0.6,0.0,0.4,0.0,4.8,13.6,39
340,"SUAL, PANGASINAN",1,39.2,32.0,4.2,1.0,5.8,0.6,13.2,6.0,13.2,18.8,134,340,"SUAL, PANGASINAN","1",3.2,7.4,22.2,0.6,0.8,0.0,0.0,0.2,0.0,0.2,34.6,340,"SUAL, PANGASINAN","1",4.8,17.8,17.0,16.4,0.0,0.2,0.6,10.6,0.4,15.2,4.4,87.4,256
359,"IPIL, ZAMBOANGA SIBUGAY",9,,,0.0,,,,,,,,0,359,"IPIL, ZAMBOANGA SIBUGAY","9",0.0,,0.0,,,,,,,,0,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,,,,,,,,,0
896,"BARILI, CEBU",7,0.0,19.4,9.0,1.0,0.0,2.2,0.2,0.0,0.0,0.0,31.8,896,"BARILI, CEBU","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,3.2,4,896,"BARILI, CEBU","7",0.0,7.6,0.0,0.0,0.0,11.8,0.2,0.0,0.0,0.0,0.2,19.8,55.6
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",0.0,0.0,0.0,0.0,0.0,0.0,12.2,1.2,0.0,3.8,17.2,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",0.0,0.0,0.0,0.0,0.0,1.2,2.6,0.2,0.0,0.0,0.0,4,21.4
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,0.0,3.0,5.8,6.8,0.0,,,,,,15.6,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",4.4,0.0,0.0,4.8,0.0,0.0,0.2,0.0,1.4,0.2,5.6,16.6,32.2
1141,"STA. BARBARA - ILOILO, ILOILO",6,0.0,0.1,0.6,2.6,0.6,2.4,3.7,2.0,0.1,0.0,12.1,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.3,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.7,10.1,0.6,0.0,0.0,3.6,1.1,0.0,0.0,2.7,18.8,31.2
903,"BOTOLAN, ZAMBALES",3,,,,,,,,,,,,903,"BOTOLAN, ZAMBALES","3",,,,,,,,,,,,903,"BOTOLAN, ZAMBALES","3",,,,,,,,,,,,,
927,"BAGO CITY, NEGROS OCCIDENTAL",6,0.6,7.2,66.0,6.0,16.2,4.6,11.2,2.4,0.0,0.0,114.2,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27,927,"BAGO CITY, NEGROS OCCIDENTAL","6",7.2,48.4,19.0,0.2,1.8,2.8,2.4,3.8,2.6,0.0,3.4,91.6,232.8
316,"STO TOMAS, DAVAO DEL NORTE",11,,,,,,0.0,0.0,0.0,0.0,0.0,0,316,"STO TOMAS, DAVAO DEL NORTE","11",0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.2,1.2,0.0,20.4,316,"STO TOMAS, DAVAO DEL NORTE","11",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.4,3.8,0.2,13.6,34
879,"TACURONG CITY, SULTAN KUDARAT",12,,,,,,,,,,,,879,"TACURONG CITY, SULTAN KUDARAT","12",,,,,,,,,,,,879,"TACURONG CITY, SULTAN KUDARAT","12",,,,,,,,,,,,,
866,"GUINSILIBAN, CAMIGUIN",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,866,"GUINSILIBAN, CAMIGUIN","10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,866,"GUINSILIBAN, CAMIGUIN","10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
372,"ROXAS, ISABELA",2,0.0,0.0,7.8,4.2,0.0,0.0,0.0,0.0,0.0,0.0,12,372,"ROXAS, ISABELA","2",0.0,7.8,8.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,21.4,372,"ROXAS, ISABELA","2",33.2,0.0,2.0,0.2,0.0,9.2,32.4,0.0,0.0,17.8,1.0,95.8,129.2
890,"ESPERANZA, AGUSAN DEL SUR",13,,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,,
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0.4,26.8,14.4,1.2,0.0,,,,,,42.8,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",10.0,0.2,3.0,2.4,2.4,26.2,1.2,0.0,0.0,0.0,23.6,69,112.2
917,"CALINOG, ILOILO",6,0.0,7.0,8.2,2.0,2.6,2.8,1.6,0.8,4.6,0.0,29.6,917,"CALINOG, ILOILO","6",0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.8,5.6,4.6,12,917,"CALINOG, ILOILO","6",3.6,28.2,9.6,2.0,0.0,17.4,2.0,0.8,0.8,1.2,1.6,67.2,108.8
1128,"ALCANTARA, ROMBLON",4-B,0.0,1.2,0.0,0.4,1.6,2.4,0.2,0.0,0.2,0.0,6,1128,"ALCANTARA, ROMBLON","4-B",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1128,"ALCANTARA, ROMBLON","4-B",0.0,0.0,8.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,8.6,14.6
503,"AGLIPAY, QUIRINO",2,0.8,0.0,15.2,8.0,1.6,1.0,0.0,0.0,0.0,0.0,26.6,503,"AGLIPAY, QUIRINO","2",0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3.6,3.0,7,503,"AGLIPAY, QUIRINO","2",0.0,0.0,0.0,0.0,0.0,0.8,9.6,0.2,0.0,13.0,5.6,29.2,62.8
1324,"VILLAREAL, SAMAR",8,0.0,0.0,0.0,0.0,0.0,,,,,,0,1324,"VILLAREAL, SAMAR","8",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1324,"VILLAREAL, SAMAR","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,1.8,5.4,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,8.8,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.2,6.2,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",0.4,0.0,1.6,0.0,0.0,0.0,7.0,0.0,1.4,0.0,3.2,13.6,28.6
626,"KIAMBA, SARANGANI",12,,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,,,,,
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0
351,"CARMEN, BOHOL",7,,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,,
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,2.4,3.0,6.0,1.0,0.0,,,,,,12.4,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.6,0.0,0.0,0.0,0.0,8.2,15.0,0.0,17.0,0.2,0.8,41.8,59.2
328,"AYUTI, QUEZON",4-A,0.2,18.6,7.6,0.0,13.8,1.6,3.6,3.0,0.6,0.0,49,328,"AYUTI, QUEZON","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,11.8,0.4,13.8,328,"AYUTI, QUEZON","4-A",1.2,0.0,0.0,0.0,3.2,25.6,0.4,13.6,6.0,6.6,2.4,59,121.8
865,"ILAGAN, ISABELA",2,0.0,0.0,0.0,0.0,3.2,0.8,0.0,0.0,0.0,0.0,4,865,"ILAGAN, ISABELA","2",0.0,0.2,2.2,0.0,2.0,0.0,0.0,0.0,0.0,,4.4,865,"ILAGAN, ISABELA","2",,0.0,1.0,0.0,0.0,5.6,11.2,0.0,0.0,0.0,30.6,48.4,56.8
934,"KAPATAGAN, LANAO DEL SUR",ARMM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,,
358,"DUMINGAG, ZAMBOANGA DEL SUR",9,,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,,
338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,7.4,10.8,4.4,5.4,1.4,1.4,0.0,24.0,8.8,17.0,80.6,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",2.8,9.6,26.4,1.2,0.0,0.0,0.0,0.0,165.6,13.6,219.2,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",0.2,7.6,19.4,50.4,2.0,1.6,3.4,0.4,1.2,21.0,5.8,113,412.8
353,"MALITBOG, SOUTHERN LEYTE",8,0.0,0.4,0.0,0.0,,,,,,,0.4,353,"MALITBOG, SOUTHERN LEYTE","8",,,,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.8,353,"MALITBOG, SOUTHERN LEYTE","8",0.0,0.4,0.0,0.0,0.0,0.2,1.6,0.0,0.0,0.0,0.2,2.4,3.6
