,,,July 2014,,,,,,,,,,,,,,July 2014,,,,,,,,,,,,,,July 2014,,,,,,,,,,,,
368,"KITCHARAO, AGUSAN DEL NORTE",13,0.6,10.8,5.6,0.0,7.4,0.0,7.8,0.0,1.0,0.0,33.2,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,,,,,,,,,,0,368,"KITCHARAO, AGUSAN DEL NORTE","13",,,,,,,,,,,,,33.2
875,"LASAM, CAGAYAN",2,16.2,13.0,49.8,4.2,1.6,0.0,0.0,1.4,0.0,31.2,117.4,875,"LASAM, CAGAYAN","2",1.0,7.8,0.6,49.4,5.6,0.0,0.0,5.6,7.2,3.0,80.2,875,"LASAM, CAGAYAN","2",0.0,0.0,0.0,0.2,4.8,6.2,3.4,7.8,10.0,0.2,0.0,32.6,230.2
869,"MALAYBALAY, BUKIDNON",10,2.6,2.6,17.0,13.2,0.0,0.2,3.8,4.0,3.0,1.2,47.6,869,"MALAYBALAY, BUKIDNON","10",0.2,27.0,4.0,9.0,1.2,3.6,1.2,0.2,7.6,0.0,54,869,"MALAYBALAY, BUKIDNON","10",0.0,0.0,37.8,0.0,55.8,0.2,0.0,0.0,0.0,0.0,0.0,93.8,195.4
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,1.8,7.0,6.8,33.4,2.2,1.8,8.8,0.0,0.6,0.0,62.4,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",1.8,6.6,0.0,15.2,19.4,0.0,0.2,3.6,0.0,,46.8,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",,,,,,,,,,,,,109.2
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,1.4,18.6,9.4,0.0,0.0,0.0,0.0,0.2,24.6,9.8,64,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.2,31.8,1.8,44.6,37.0,0.0,1.8,9.2,13.0,8.6,148,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,0.0,0.0,0.6,20.4,0.0,5.2,3.2,1.2,0.0,0.0,30.6,242.6
900,"CATUBIG, NORTHERN SAMAR",8,3.8,15.0,0.0,0.2,0.0,0.0,0.0,0.0,1.2,0.6,20.8,900,"CATUBIG, NORTHERN SAMAR","8",0.0,0.2,5.4,150.2,81.6,10.6,0.0,26.4,33.7,47.8,355.9,900,"CATUBIG, NORTHERN SAMAR","8",0.2,0.0,0.0,0.0,0.0,4.9,1.8,9.8,0.4,0.0,19.5,36.6,413.3
367,"PLARIDEL, MISAMIS OCCIDENTAL",10,0.0,0.6,0.0,3.2,0.8,1.4,0.2,0.0,17.2,0.0,23.4,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",4.0,4.4,0.0,6.0,27.4,0.0,8.0,0.0,10.0,8.6,68.4,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",0.0,0.0,4.2,0.0,6.8,11.4,13.4,0.0,0.0,0.0,0.0,35.8,127.6
853,"BANGA, AKLAN",6,1.2,0.0,0.6,2.4,0.0,5.8,31.6,7.2,4.4,0.0,53.2,853,"BANGA, AKLAN","6",0.2,3.2,0.0,0.0,35.2,1.4,3.0,0.0,5.4,19.2,67.6,853,"BANGA, AKLAN","6",2.0,11.2,0.0,0.6,1.4,4.4,6.2,1.4,5.0,5.0,3.6,40.8,161.6
318,"UBAY, BOHOL",7,0.2,6.8,0.0,2.0,0.0,0.0,0.0,0.0,0.8,66.8,76.6,318,"UBAY, BOHOL","7",1.0,0.2,0.8,1.2,0.2,0.0,0.2,0.2,7.2,1.2,12.2,318,"UBAY, BOHOL","7",0.0,0.0,0.0,1.6,30.4,0.0,0.0,0.0,0.0,0.0,0.0,32,120.8
880,"T'BOLI, SOUTH COTABATO",12,2.2,21.4,0.0,0.0,0.4,0.0,0.0,28.6,34.8,67.2,154.6,880,"T'BOLI, SOUTH COTABATO","12",1.8,1.6,2.6,3.6,1.6,0.0,0.0,0.2,2.8,0.0,14.2,880,"T'BOLI, SOUTH COTABATO","12",0.0,0.0,0.0,18.2,16.2,0.8,1.2,1.6,1.0,0.0,0.0,39,207.8
916,"MAGALANG, PAMPANGA",3,3.0,32.6,22.8,35.0,7.6,0.0,0.2,0.2,4.6,0.8,106.8,916,"MAGALANG, PAMPANGA","3",0.0,0.0,0.0,0.4,33.0,24.0,5.0,20.2,26.8,3.2,112.6,916,"MAGALANG, PAMPANGA","3",13.6,12.2,11.6,13.0,1.6,32.8,0.6,0.0,38.2,3.6,5.4,132.6,352
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,0.0,0.0,4.4,1.6,1.2,0.2,0.0,0.0,2.8,0.0,10.2,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",4.6,2.8,9.8,0.0,0.0,0.2,0.0,0.8,22.2,2.8,43.2,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",0.0,0.0,0.0,0.0,10.6,4.2,2.2,0.0,0.0,0.0,0.0,17,70.4
342,"PAMPLONA, CAMARINES SUR",5,0.6,0.0,7.8,0.0,0.6,0.0,0.0,2.6,0.2,0.2,12,342,"PAMPLONA, CAMARINES SUR","5",0.0,17.0,4.4,9.4,101.2,3.2,31.0,9.8,8.4,6.2,190.6,342,"PAMPLONA, CAMARINES SUR","5",1.2,1.4,0.0,0.0,4.8,3.8,3.2,0.2,0.6,1.6,0.2,17,219.6
348,"BAIS, NEGROS ORIENTAL",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,348,"BAIS, NEGROS ORIENTAL","7",0.0,,,,,,,,,,0,348,"BAIS, NEGROS ORIENTAL","7",,,,,,,,,,,,,0
929,"PALAYAN CITY, NUEVA ECIJA",3,0.0,6.6,78.2,0.0,89.2,6.2,35.0,1.0,7.0,0.6,223.8,929,"PALAYAN CITY, NUEVA ECIJA","3",1.0,0.0,0.0,30.2,46.8,17.0,6.6,3.6,30.4,0.6,136.2,929,"PALAYAN CITY, NUEVA ECIJA","3",4.8,5.0,10.0,4.4,0.0,5.6,11.8,0.0,0.0,9.4,3.8,54.8,414.8
1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,,,,,,,,,,,0,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",,,,,,,,,,,,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",,,,,,,,,,,,,0
876,"ABULUG, CAGAYAN",2,2.6,0.0,42.2,0.4,5.2,0.0,0.0,0.0,0.4,1.2,52,876,"ABULUG, CAGAYAN","2",0.0,,,,,,,,,,0,876,"ABULUG, CAGAYAN","2",,,,,,,,,,,,,52
357,"POLANCO, ZAMBOANGA DEL NORTE",9,50.8,0.4,1.2,30.2,5.0,0.2,14.0,3.2,1.0,0.0,106,357,"POLANCO, ZAMBOANGA DEL NORTE","9",0.0,,,,,,,,,,0,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,,106
1143,"MASBATE, MASBATE",5,,,,,,,,,,,,1143,"MASBATE, MASBATE","5",,,,,,,,,,,,1143,"MASBATE, MASBATE","5",,,,,,,,,,,,,
344,"LABO, CAMARINES NORTE",5,8.4,1.0,7.6,0.0,0.0,0.2,0.0,0.2,0.0,0.0,17.4,344,"LABO, CAMARINES NORTE","5",2.4,0.0,0.0,27.8,78.6,0.2,0.4,14.2,29.2,8.4,161.2,344,"LABO, CAMARINES NORTE","5",5.4,5.4,0.0,0.2,0.0,0.2,0.0,0.0,0.8,0.2,0.0,12.2,190.8
922,"ROXAS PALAWAN, PALAWAN",4-B,2.4,0.0,38.2,0.8,0.4,1.2,6.8,11.0,5.8,3.0,69.6,922,"ROXAS PALAWAN, PALAWAN","4-B",12.8,0.2,0.0,38.8,63.8,31.0,13.4,0.4,0.2,29.8,190.4,922,"ROXAS PALAWAN, PALAWAN","4-B",23.4,0.0,0.6,0.0,0.8,21.0,15.8,15.8,5.4,0.2,0.0,83,343
329,"SAN ANTONIO, QUEZON",4-A,,,,,,,,,,,,329,"SAN ANTONIO, QUEZON","4-A",,,,,,,,,,,,329,"SAN ANTONIO, QUEZON","4-A",,,,,,,,,,,,,
378,"BABATNGON, LEYTE",8,0.2,0.0,23.1,0.2,3.6,30.5,12.2,0.0,0.8,0.0,70.6,378,"BABATNGON, LEYTE","8",0.0,,,,,,,,,,0,378,"BABATNGON, LEYTE","8",,,,,,,,,,,,,70.6
354,"NAVAL, BILIRAN",8,43.2,9.8,42.2,0.0,25.4,3.4,0.2,0.8,1.2,7.8,134,354,"NAVAL, BILIRAN","8",6.0,52.0,0.2,84.8,33.8,38.2,0.2,0.4,82.2,371.8,669.6,354,"NAVAL, BILIRAN","8",0.4,16.6,3.2,0.0,24.0,102.8,39.0,0.6,8.8,1.0,0.0,196.4,1000
899,"CAN-AVID, EASTERN SAMAR",8,1.8,1.4,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,3.8,899,"CAN-AVID, EASTERN SAMAR","8",0.0,0.0,0.0,100.2,22.2,0.2,21.0,3.8,46.4,48.0,241.8,899,"CAN-AVID, EASTERN SAMAR","8",0.0,0.2,0.0,0.6,1.8,8.4,3.2,0.0,1.8,0.0,0.0,16,261.6
363,"SULOP, POBLACION, DAVAO DEL SUR",11,,,,,,,,,,,,363,"SULOP, POBLACION, DAVAO DEL SUR","11",,,,,,,,,,,,363,"SULOP, POBLACION, DAVAO DEL SUR","11",,,,,,,,,,,,,
870,"LANAO DEL NORTE, LANAO DEL NORTE",10,0.0,4.4,3.8,15.2,3.6,59.0,31.8,5.8,17.0,3.2,143.8,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",0.0,,,,,,,,,,0,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",,,,,,,,,,,,,143.8
898,"SAN MIGUEL, LEYTE",8,0.4,55.8,16.4,2.0,4.4,0.0,0.0,6.2,1.2,12.8,99.2,898,"SAN MIGUEL, LEYTE","8",3.2,0.2,10.4,121.8,31.4,0.0,0.0,0.2,37.2,27.8,232.2,898,"SAN MIGUEL, LEYTE","8",7.2,4.8,0.0,0.0,3.2,10.8,5.8,0.0,0.0,0.0,0.0,31.8,363.2
902,"GERONA, TARLAC",3,30.2,0.0,14.2,15.8,15.6,0.0,0.4,8.8,2.8,13.0,100.8,902,"GERONA, TARLAC","3",0.0,0.0,25.2,15.6,41.2,17.6,3.6,0.4,3.8,0.0,107.4,902,"GERONA, TARLAC","3",10.0,6.0,13.2,0.0,1.0,0.8,0.2,15.2,0.0,0.0,12.2,58.6,266.8
987,"BASILAN, ISABELA CITY",9,7.6,20.6,2.4,13.6,0.4,0.0,0.0,3.6,0.2,0.0,48.4,987,"BASILAN, ISABELA CITY","9",0.0,49.0,26.4,6.4,0.0,0.0,0.0,0.0,0.2,0.4,82.4,987,"BASILAN, ISABELA CITY","9",0.0,0.0,0.8,0.0,4.6,0.2,0.0,4.2,18.2,0.2,0.0,28.2,159
376,"PIGCAWAYAN, COTABATO",12,1.2,70.0,6.6,7.0,0.6,0.0,0.0,0.0,1.0,0.0,86.4,376,"PIGCAWAYAN, COTABATO","12",2.0,0.0,5.4,19.6,39.0,0.0,8.4,1.6,7.2,9.4,92.6,376,"PIGCAWAYAN, COTABATO","12",0.0,0.0,0.0,4.6,32.0,0.2,17.0,15.6,1.4,0.0,0.0,70.8,249.8
919,"PATNONGON, ANTIQUE",6,5.4,0.8,26.2,11.8,41.0,27.6,92.6,64.4,69.8,0.0,339.6,919,"PATNONGON, ANTIQUE","6",135.0,28.2,0.6,3.8,2.0,0.0,,,,,169.6,919,"PATNONGON, ANTIQUE","6",,,,,,,,,,20.4,20.6,41,550.2
918,"SAN LUIS, AURORA",3,0.2,0.8,9.6,0.0,0.0,0.0,0.4,0.0,0.0,0.4,11.4,918,"SAN LUIS, AURORA","3",10.6,0.2,0.0,0.0,58.8,38.0,1.8,0.0,44.4,0.6,154.4,918,"SAN LUIS, AURORA","3",0.2,1.8,0.6,0.0,4.2,9.2,0.0,4.9,0.0,0.0,0.6,21.5,187.3
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,4.0,87.6,3.8,0.0,5.4,0.0,0.0,0.0,0.2,0.8,101.8,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",2.2,0.4,0.8,27.2,42.6,0.0,2.0,13.4,71.0,1.4,161,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",0.0,0.0,9.8,3.2,80.6,1.2,16.0,8.8,6.2,0.2,0.0,126,388.8
349,"SIQUIJOR, SIQUIJOR",7,,,,,,,,,,,,349,"SIQUIJOR, SIQUIJOR","7",,,,,,,,,,,,349,"SIQUIJOR, SIQUIJOR","7",,,,,,,,,,,,,
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,1.0,2.4,1.6,13.2,4.0,3.8,2.4,7.6,0.8,0.0,36.8,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",0.0,,,,,,,,,,0,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,,36.8
924,"PANIT-AN, CAPIZ",6,1.2,0.0,0.0,0.0,5.6,2.2,7.6,0.6,0.4,96.2,113.8,924,"PANIT-AN, CAPIZ","6",3.0,0.4,0.4,2.4,47.6,5.4,25.8,17.4,10.0,6.4,118.8,924,"PANIT-AN, CAPIZ","6",2.6,1.6,0.4,7.2,3.2,1.8,0.0,0.0,0.6,0.8,0.0,18.2,250.8
872,"KALILANGAN, BUKIDNON",10,9.2,14.4,1.6,0.0,0.0,0.0,2.8,0.0,7.8,12.8,48.6,872,"KALILANGAN, BUKIDNON","10",48.2,0.0,8.4,15.0,11.2,1.8,2.8,0.6,0.8,0.6,89.4,872,"KALILANGAN, BUKIDNON","10",0.0,0.0,4.4,0.6,10.6,9.2,5.8,1.0,0.0,0.0,0.0,31.6,169.6
340,"SUAL, PANGASINAN",1,8.2,0.6,27.4,9.8,0.0,1.6,74.2,0.6,0.2,13.8,136.4,340,"SUAL, PANGASINAN","1",0.0,,,,,,,,,,0,340,"SUAL, PANGASINAN","1",,,,,,,,,,,,,136.4
359,"IPIL, ZAMBOANGA SIBUGAY",9,0.0,0.2,3.0,9.0,39.8,6.0,130.4,2.0,10.2,0.2,200.8,359,"IPIL, ZAMBOANGA SIBUGAY","9",0.0,,,,,,,,,,0,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,,,,,,,,,200.8
896,"BARILI, CEBU",7,0.0,0.0,0.0,2.0,0.2,0.0,0.2,0.2,2.6,1.0,6.2,896,"BARILI, CEBU","7",0.0,,,,,,,,,,0,896,"BARILI, CEBU","7",,,,,,,,,,,,,6.2
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,0.6,6.4,1.6,0.2,1.6,0.0,0.0,0.0,0.0,0.2,10.6,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",1.0,7.4,0.6,49.8,5.2,0.0,0.0,5.6,7.2,3.0,79.8,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",0.0,0.0,0.0,0.0,3.6,5.0,2.2,7.8,9.0,0.2,0.0,27.8,118.2
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,2.6,0.2,16.8,0.0,0.0,2.6,8.2,7.0,0.0,0.0,37.4,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.0,0.0,0.0,0.0,96.8,1.4,16.2,0.0,0.0,31.4,145.8,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",10.0,0.4,0.0,5.0,0.4,0.8,0.4,0.0,25.0,0.6,0.0,42.6,225.8
1141,"STA. BARBARA - ILOILO, ILOILO",6,0.7,0.0,0.8,1.3,1.1,0.8,3.3,4.8,0.2,2.1,15.1,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,,,,,,,,,,0,1141,"STA. BARBARA - ILOILO, ILOILO","6",,,,,,,,,,,,,15.1
903,"BOTOLAN, ZAMBALES",3,1.0,11.6,22.8,38.2,29.2,73.6,40.8,48.2,12.4,11.8,289.6,903,"BOTOLAN, ZAMBALES","3",2.8,0.0,15.2,6.2,40.8,49.0,34.6,12.0,0.4,38.4,199.4,903,"BOTOLAN, ZAMBALES","3",7.6,54.6,82.4,30.4,28.6,12.0,0.8,0.0,13.0,11.4,21.6,262.4,751.4
927,"BAGO CITY, NEGROS OCCIDENTAL",6,0.0,14.4,8.0,7.8,26.0,23.0,3.4,14.0,34.0,0.0,130.6,927,"BAGO CITY, NEGROS OCCIDENTAL","6",6.2,0.0,1.2,1.6,40.4,16.8,0.0,0.0,4.0,21.4,91.6,927,"BAGO CITY, NEGROS OCCIDENTAL","6",85.8,26.6,13.0,0.4,30.2,0.0,0.0,17.4,32.8,4.4,0.0,210.6,432.8
316,"STO TOMAS, DAVAO DEL NORTE",11,32.8,9.6,0.2,0.0,0.0,0.0,0.0,0.0,47.4,2.6,92.6,316,"STO TOMAS, DAVAO DEL NORTE","11",1.8,0.0,8.0,7.2,0.0,0.0,6.8,7.8,1.2,0.0,32.8,316,"STO TOMAS, DAVAO DEL NORTE","11",0.0,0.0,0.4,34.8,10.6,0.2,0.2,0.0,0.0,0.0,0.0,46.2,171.6
879,"TACURONG CITY, SULTAN KUDARAT",12,9.2,9.1,5.7,0.0,0.0,12.4,0.2,0.0,39.6,6.6,82.8,879,"TACURONG CITY, SULTAN KUDARAT","12",73.0,0.0,62.4,2.2,1.4,0.0,16.8,0.0,0.0,0.0,155.8,879,"TACURONG CITY, SULTAN KUDARAT","12",0.0,0.0,0.0,10.0,3.4,0.4,9.2,5.8,10.0,0.0,0.2,39,277.6
866,"GUINSILIBAN, CAMIGUIN",10,14.0,55.0,15.0,10.0,0.2,0.0,0.0,0.0,44.2,3.2,141.6,866,"GUINSILIBAN, CAMIGUIN","10",0.0,,,,,,,,,,0,866,"GUINSILIBAN, CAMIGUIN","10",,,,,,,,,,,,,141.6
372,"ROXAS, ISABELA",2,15.8,76.6,9.4,8.6,11.0,0.0,0.0,10.0,0.2,67.4,199,372,"ROXAS, ISABELA","2",0.2,,,,,,,,,,0.2,372,"ROXAS, ISABELA","2",,,,,,,,,,,,,199.2
890,"ESPERANZA, AGUSAN DEL SUR",13,0.4,0.0,18.4,26.4,0.2,0.2,2.6,0.0,6.0,1.8,56,890,"ESPERANZA, AGUSAN DEL SUR","13",0.0,0.0,0.2,0.2,0.0,2.0,0.0,1.8,5.4,0.0,9.6,890,"ESPERANZA, AGUSAN DEL SUR","13",0.0,0.0,4.8,6.4,9.8,0.0,1.2,4.8,0.0,0.0,5.8,32.8,98.4
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0.0,7.0,48.2,17.6,0.8,0.4,20.2,0.8,2.8,9.4,107.2,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",0.0,,,,,,,,,,0,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",,,,,,,,,,,,,107.2
917,"CALINOG, ILOILO",6,0.2,0.4,6.6,10.2,0.8,0.4,8.8,3.4,4.6,11.4,46.8,917,"CALINOG, ILOILO","6",0.6,23.0,0.0,21.2,29.0,10.0,3.2,5.8,10.4,12.8,116,917,"CALINOG, ILOILO","6",3.6,0.2,0.0,1.2,1.0,2.4,1.4,0.2,8.0,0.0,0.0,18,180.8
1128,"ALCANTARA, ROMBLON",4-B,15.4,0.0,16.2,5.6,19.4,29.4,54.2,18.2,0.4,0.0,158.8,1128,"ALCANTARA, ROMBLON","4-B",0.0,1.2,0.0,14.0,56.8,31.0,3.6,0.0,0.0,1.2,107.8,1128,"ALCANTARA, ROMBLON","4-B",3.4,4.6,19.6,8.6,1.2,20.2,2.6,8.2,48.6,14.4,1.8,133.2,399.8
503,"AGLIPAY, QUIRINO",2,0.0,0.2,12.6,1.0,9.4,0.8,0.0,0.0,0.0,0.0,24,503,"AGLIPAY, QUIRINO","2",0.0,0.0,14.0,3.8,17.0,9.0,0.2,9.2,21.4,18.0,92.6,503,"AGLIPAY, QUIRINO","2",8.4,0.2,0.0,0.0,0.0,1.8,12.0,12.6,0.0,0.0,0.0,35,151.6
1324,"VILLAREAL, SAMAR",8,6.6,2.0,15.4,2.4,2.0,0.0,0.0,2.6,2.0,4.8,37.8,1324,"VILLAREAL, SAMAR","8",0.0,6.6,3.6,100.4,75.4,1.0,0.0,14.2,68.0,43.8,313,1324,"VILLAREAL, SAMAR","8",0.0,2.8,0.0,0.0,2.8,18.0,3.2,0.0,4.8,0.0,0.0,31.6,382.4
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,5.8,1.8,9.2,0.0,0.0,0.8,0.6,3.6,0.0,0.8,22.6,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",0.0,,,,,,,,,,0,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",,,,,,,,,,,,,22.6
626,"KIAMBA, SARANGANI",12,0.2,8.6,0.4,0.8,0.0,0.0,0.0,0.8,0.0,2.6,13.4,626,"KIAMBA, SARANGANI","12",1.2,0.0,0.0,0.0,2.6,0.0,0.0,1.0,0.0,0.0,4.8,626,"KIAMBA, SARANGANI","12",1.6,0.0,0.0,0.0,0.4,0.2,1.0,3.0,0.0,0.0,0.0,6.2,24.4
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,,
351,"CARMEN, BOHOL",7,0.6,0.0,0.0,1.2,0.0,0.2,0.0,0.2,1.8,0.0,4,351,"CARMEN, BOHOL","7",20.0,0.2,24.4,1.0,2.0,1.2,0.0,0.0,4.6,0.8,54.2,351,"CARMEN, BOHOL","7",0.0,0.0,0.2,0.6,25.2,1.8,1.0,1.2,0.0,0.2,0.0,30.2,88.4
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,0.0,3.8,31.2,0.0,14.8,0.2,1.0,2.4,0.0,0.8,54.2,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.0,3.2,0.2,20.0,251.6,,,,,,275,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",,,,0.0,0.0,7.2,7.0,0.0,10.0,0.0,0.0,24.2,353.4
328,"AYUTI, QUEZON",4-A,4.8,0.0,6.0,12.2,0.2,0.4,0.0,1.0,1.8,64.6,91,328,"AYUTI, QUEZON","4-A",0.0,3.8,0.0,0.0,157.2,,2.2,1.0,19.2,0.0,183.4,328,"AYUTI, QUEZON","4-A",4.2,0.2,3.2,2.4,12.0,23.6,7.4,0.4,6.2,0.6,0.8,61,335.4
865,"ILAGAN, ISABELA",2,0.0,2.4,6.8,13.6,37.8,7.2,0.0,12.2,0.2,0.0,80.2,865,"ILAGAN, ISABELA","2",0.0,,,,,,,,,,0,865,"ILAGAN, ISABELA","2",,,,,,,,,,,,,80.2
934,"KAPATAGAN, LANAO DEL SUR",ARMM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,259.4,260.4,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,260.6
358,"DUMINGAG, ZAMBOANGA DEL SUR",9,3.6,0.0,0.8,14.0,8.6,0.0,7.0,3.2,17.0,2.8,57,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",0.0,,,,,,,,,,0,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,,57
