,,,March 2014,,,,,,,,,,,,,,March 2014,,,,,,,,,,,,,,March 2014,,,,,,,,,,,,
875,"LASAM, CAGAYAN",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,875,"LASAM, CAGAYAN","2",0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,875,"LASAM, CAGAYAN","2",1.2,0.0,0.8,0.6,0.0,0.6,0.2,0.0,1.8,0.0,0.0,5.2,8.4
869,"MALAYBALAY, BUKIDNON",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,869,"MALAYBALAY, BUKIDNON","10",0.4,12.6,0.0,1.6,0.0,0.4,7.8,29.4,3.0,34.0,89.2,869,"MALAYBALAY, BUKIDNON","10",15.2,0.4,36.0,2.0,19.8,4.4,0.2,0.0,0.6,11.0,0.0,89.6,178.8
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",0.0,0.0,0.0,6.4,0.0,0.0,0.0,4.6,0.0,0.8,11.8,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",22.6,0.0,6.4,5.8,0.4,0.0,0.0,15.8,0.2,0.2,0.2,51.6,63.4
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,,,,,,,,,,,,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",,,,,,,,,,,,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",,,,,,,,,,,,,
900,"CATUBIG, NORTHERN SAMAR",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,900,"CATUBIG, NORTHERN SAMAR","8",0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,900,"CATUBIG, NORTHERN SAMAR","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
367,"PLARIDEL, MISAMIS OCCIDENTAL",10,0.0,0.0,6.0,0.0,0.8,0.0,2.8,0.0,0.0,0.0,9.6,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",0.8,0.6,3.0,0.0,0.0,0.0,1.0,16.2,0.4,0.6,22.6,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",11.6,0.2,3.2,0.0,32.0,0.0,0.0,0.0,1.6,0.6,0.2,49.4,81.6
853,"BANGA, AKLAN",6,,,,,,,,,,,,853,"BANGA, AKLAN","6",,,,,,,,,,,,853,"BANGA, AKLAN","6",,,,,,,,,,,,,
318,"UBAY, BOHOL",7,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,10,318,"UBAY, BOHOL","7",8.4,10.2,,2.8,0.0,0.0,0.0,1.4,0.0,2.2,25,318,"UBAY, BOHOL","7",8.6,96.8,7.4,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,113.8,148.8
880,"T'BOLI, SOUTH COTABATO",12,0.0,10.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,11.2,880,"T'BOLI, SOUTH COTABATO","12",0.0,0.0,0.0,0.0,0.0,,,2.6,13.2,2.2,18,880,"T'BOLI, SOUTH COTABATO","12",0.6,0.0,7.4,0.0,0.0,0.0,1.4,0.0,0.8,0.0,0.0,10.2,39.4
916,"MAGALANG, PAMPANGA",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,916,"MAGALANG, PAMPANGA","3",0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,916,"MAGALANG, PAMPANGA","3",0.0,0.0,0.0,1.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,2.6,2.6
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.8,2,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",3.6,7.6,2.8,2.6,6.4,1.8,15.2,58.0,20.8,32.2,151,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",109.8,4.4,26.4,1.2,23.2,0.2,1.2,0.6,10.0,3.6,0.0,180.6,333.6
342,"PAMPLONA, CAMARINES SUR",5,,,,,,,,,,,,342,"PAMPLONA, CAMARINES SUR","5",,,,,,,,,0.0,0.0,0,342,"PAMPLONA, CAMARINES SUR","5",0.6,3.8,15.2,16.2,0.2,1.0,0.0,2.2,0.0,0.0,0.0,39.2,39.2
348,"BAIS, NEGROS ORIENTAL",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,348,"BAIS, NEGROS ORIENTAL","7",1.4,55.2,0.0,0.0,4.8,0.4,0.0,0.6,0.4,0.0,62.8,348,"BAIS, NEGROS ORIENTAL","7",0.0,3.2,104.4,6.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,116,179
929,"PALAYAN CITY, NUEVA ECIJA",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,929,"PALAYAN CITY, NUEVA ECIJA","3",0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,929,"PALAYAN CITY, NUEVA ECIJA","3",0.0,0.0,0.0,12.4,12.6,0.0,0.0,0.0,0.0,0.0,0.0,25,25
1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,0.2,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",0.0,0.8,0.2,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,10.8,11
876,"ABULUG, CAGAYAN",2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,1.4,2,876,"ABULUG, CAGAYAN","2",1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,2,876,"ABULUG, CAGAYAN","2",6.0,0.0,0.2,0.2,0.2,1.2,0.2,0.0,0.0,0.0,0.8,8.8,12.8
357,"POLANCO, ZAMBOANGA DEL NORTE",9,0.0,0.0,0.0,5.8,1.0,0.2,0.0,0.0,0.0,0.0,7,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,5.8,0.0,0.0,5.8,357,"POLANCO, ZAMBOANGA DEL NORTE","9",7.2,2.2,0.2,7.2,2.2,0.0,1.0,0.0,0.0,0.8,0.0,20.8,33.6
1143,"MASBATE, MASBATE",5,,,,,,,,,,0.0,0,1143,"MASBATE, MASBATE","5",0.0,10.8,5.2,0.4,2.2,0.0,0.0,0.0,0.0,0.6,19.2,1143,"MASBATE, MASBATE","5",0.0,34.2,34.6,12.6,0.0,0.0,0.0,9.2,0.0,0.0,0.0,90.6,109.8
344,"LABO, CAMARINES NORTE",5,0.0,0.0,,,0.0,,,,,0.2,0.2,344,"LABO, CAMARINES NORTE","5",2.0,0.0,8.6,0.8,11.2,0.0,0.0,0.0,0.0,5.0,27.6,344,"LABO, CAMARINES NORTE","5",8.2,9.6,37.2,19.0,13.2,4.0,0.0,3.2,0.0,0.0,0.0,94.4,122.2
922,"ROXAS PALAWAN, PALAWAN",4-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,922,"ROXAS PALAWAN, PALAWAN","4-B",0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,922,"ROXAS PALAWAN, PALAWAN","4-B",0.0,0.0,1.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,20.4
329,"SAN ANTONIO, QUEZON",4-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,329,"SAN ANTONIO, QUEZON","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,329,"SAN ANTONIO, QUEZON","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
378,"BABATNGON, LEYTE",8,0.2,8.8,3.6,0.2,0.4,0.2,0.0,0.0,0.0,0.8,14.2,378,"BABATNGON, LEYTE","8",0.2,3.0,21.0,19.6,16.2,0.2,0.0,0.0,0.0,12.0,72.2,378,"BABATNGON, LEYTE","8",2.6,38.2,141.2,27.4,6.6,14.4,5.0,7.2,5.0,0.0,0.6,248.2,334.6
354,"NAVAL, BILIRAN",8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,354,"NAVAL, BILIRAN","8",0.0,0.0,0.0,0.8,9.2,0.2,0.0,0.0,0.0,0.0,10.2,354,"NAVAL, BILIRAN","8",0.0,10.4,82.4,6.4,0.0,11.6,3.8,4.2,7.2,0.0,0.0,126,137.2
899,"CAN-AVID, EASTERN SAMAR",8,1.0,14.6,0.0,0.0,0.4,0.2,1.6,2.8,1.2,0.0,21.8,899,"CAN-AVID, EASTERN SAMAR","8",1.8,38.6,12.4,57.6,0.2,,,0.0,0.0,14.8,125.4,899,"CAN-AVID, EASTERN SAMAR","8",11.4,44.0,7.2,17.2,10.0,7.4,41.8,7.4,0.0,0.0,26.8,173.2,320.4
363,"SULOP, POBLACION, DAVAO DEL SUR",11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,363,"SULOP, POBLACION, DAVAO DEL SUR","11",0.0,0.0,4.2,0.0,,,0.0,0.0,0.0,0.2,4.4,363,"SULOP, POBLACION, DAVAO DEL SUR","11",9.2,0.8,,,,,,,0.0,39.8,0.0,49.8,54.2
870,"LANAO DEL NORTE, LANAO DEL NORTE",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,23.4,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",0.0,3.4,0.0,28.6,0.0,0.0,2.8,3.0,1.4,3.2,42.4,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",7.0,0.8,2.2,8.6,3.6,5.2,0.0,0.0,3.8,2.2,0.0,33.4,99.2
898,"SAN MIGUEL, LEYTE",8,4.8,1.4,0.0,0.0,5.6,0.0,0.0,0.0,0.2,1.0,13,898,"SAN MIGUEL, LEYTE","8",0.0,6.8,36.6,19.8,,,,,,,63.2,898,"SAN MIGUEL, LEYTE","8",,,,,,,,,,,,,76.2
902,"GERONA, TARLAC",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,902,"GERONA, TARLAC","3",0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,902,"GERONA, TARLAC","3",0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
987,"BASILAN, ISABELA CITY",9,1.0,0.2,0.8,0.2,1.2,0.0,0.0,0.0,0.6,0.4,4.4,987,"BASILAN, ISABELA CITY","9",0.0,0.2,0.8,4.4,0.2,1.0,0.8,7.4,0.0,0.0,14.8,987,"BASILAN, ISABELA CITY","9",0.0,0.4,0.8,1.0,6.2,1.2,0.0,3.0,5.8,0.2,2.4,21,40.2
376,"PIGCAWAYAN, COTABATO",12,,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO","12",,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO","12",,,,,,,,,,,,,
919,"PATNONGON, ANTIQUE",6,,,,,,,,,,,,919,"PATNONGON, ANTIQUE","6",,,,,,,,,,,,919,"PATNONGON, ANTIQUE","6",,,,,,,,,,,,,
918,"SAN LUIS, AURORA",3,,,,,,,,,,6.2,6.2,918,"SAN LUIS, AURORA","3",50.6,0.8,0.0,8.8,0.2,,,0.0,0.0,0.0,60.4,918,"SAN LUIS, AURORA","3",0.0,0.0,2.6,154.8,113.0,0.2,2.6,5.8,2.6,0.0,0.0,281.6,348.2
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",0.2,0.0,0.0,12.4,0.0,,,24.8,0.0,6.8,44.2,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",0.4,0.0,30.8,1.2,7.8,0.2,1.0,36.6,0.6,0.0,0.0,78.6,123.2
349,"SIQUIJOR, SIQUIJOR",7,,,,,,,,,,0.0,0,349,"SIQUIJOR, SIQUIJOR","7",,,,,,,,,,,,349,"SIQUIJOR, SIQUIJOR","7",,,,,,,,,,,,,0
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",0.0,0.0,0.8,13.8,2.2,0.0,0.0,0.0,0.0,0.0,16.8,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",0.0,0.0,0.0,0.0,5.8,0.6,36.6,0.0,5.8,0.2,1.6,50.6,67.4
924,"PANIT-AN, CAPIZ",6,,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,,
872,"KALILANGAN, BUKIDNON",10,1.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2,872,"KALILANGAN, BUKIDNON","10",0.0,0.0,0.0,0.0,0.2,0.0,1.6,11.8,1.4,2.0,17,872,"KALILANGAN, BUKIDNON","10",14.0,4.0,20.4,7.0,0.2,0.0,0.0,0.0,1.6,0.6,0.0,47.8,66.8
340,"SUAL, PANGASINAN",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,340,"SUAL, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,340,"SUAL, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
359,"IPIL, ZAMBOANGA SIBUGAY",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,359,"IPIL, ZAMBOANGA SIBUGAY","9",0.0,0.0,1.4,10.2,5.6,0.2,0.0,2.4,0.0,0.0,19.8,359,"IPIL, ZAMBOANGA SIBUGAY","9",0.0,0.0,0.0,0.0,0.0,31.2,0.0,1.8,11.0,0.0,0.0,44,63.8
896,"BARILI, CEBU",7,0.0,0.0,0.6,0.0,0.4,1.2,0.0,0.2,0.2,0.0,2.6,896,"BARILI, CEBU","7",0.8,33.2,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,36.4,896,"BARILI, CEBU","7",0.6,44.8,139.6,1.2,0.0,0.0,1.8,0.0,0.0,0.0,4.8,192.8,231.8
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,0.4,1.2,7.2,0.0,0.2,0.0,0.0,0.0,5.7,0.0,14.7,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",0.0,0.0,0.0,0.0,0.0,,,1.0,14.2,0.2,15.4,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",0.0,0.8,0.0,0.0,9.6,0.0,1.0,0.0,4.6,0.0,0.0,16,46.1
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.4,2.6,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.2,0.0,0.0,3.0,5.8,0.2,0.0,0.0,0.0,0.0,9.2,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",2.4,1.2,9.6,4.6,3.0,6.4,0.2,0.2,0.6,0.0,0.0,28.2,40
1141,"STA. BARBARA - ILOILO, ILOILO",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.4
903,"BOTOLAN, ZAMBALES",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,903,"BOTOLAN, ZAMBALES","3",0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,903,"BOTOLAN, ZAMBALES","3",0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
927,"BAGO CITY, NEGROS OCCIDENTAL",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.0,0.0,0.4,0.0,0.0,,,0.0,0.0,0.0,0.4,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.6,2.8,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,38.4
316,"STO TOMAS, DAVAO DEL NORTE",11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,316,"STO TOMAS, DAVAO DEL NORTE","11",15.0,1.0,0.0,4.6,0.0,,,,,,20.6,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,,21.4
879,"TACURONG CITY, SULTAN KUDARAT",12,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,879,"TACURONG CITY, SULTAN KUDARAT","12",0.0,0.0,5.1,0.0,0.0,,,5.8,0.0,0.0,10.9,879,"TACURONG CITY, SULTAN KUDARAT","12",6.7,16.2,7.7,0.2,5.1,0.0,8.0,0.0,0.0,0.0,0.0,43.9,59.9
866,"GUINSILIBAN, CAMIGUIN",10,,,,,,,,,,,,866,"GUINSILIBAN, CAMIGUIN","10",,,,,,,,,,33.8,33.8,866,"GUINSILIBAN, CAMIGUIN","10",52.6,195.4,24.2,1.2,0.6,0.6,0.0,0.0,0.0,0.6,0.2,275.4,309.2
372,"ROXAS, ISABELA",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,372,"ROXAS, ISABELA","2",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,372,"ROXAS, ISABELA","2",0.0,1.8,0.2,2.4,10.6,0.0,0.0,0.0,0.0,0.0,0.0,15,17.2
890,"ESPERANZA, AGUSAN DEL SUR",13,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,5.2,5.6,890,"ESPERANZA, AGUSAN DEL SUR","13",16.2,9.0,0.8,0.6,0.0,,,66.0,19.6,0.8,113,890,"ESPERANZA, AGUSAN DEL SUR","13",39.6,2.8,1.2,9.4,16.4,3.4,4.8,0.0,4.2,11.8,0.0,93.6,212.2
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.4,7.4,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.2,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",3.2,0.2,0.0,8.8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,16.2,25.8
917,"CALINOG, ILOILO",6,,,,,,,,,,0.0,0,917,"CALINOG, ILOILO","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,5.8,917,"CALINOG, ILOILO","6",1.0,9.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,21.2
1128,"ALCANTARA, ROMBLON",4-B,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7,1128,"ALCANTARA, ROMBLON","4-B",0.0,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,1.4,1128,"ALCANTARA, ROMBLON","4-B",0.0,0.0,7.4,0.4,0.0,1.4,1.8,3.4,0.0,0.0,0.0,14.4,22.8
503,"AGLIPAY, QUIRINO",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,11.4,11.6,503,"AGLIPAY, QUIRINO","2",8.4,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,9.2,503,"AGLIPAY, QUIRINO","2",0.0,0.0,0.8,59.4,37.4,0.0,0.0,0.0,0.0,0.0,0.0,97.6,118.4
1324,"VILLAREAL, SAMAR",8,,,,,,,,,,,,1324,"VILLAREAL, SAMAR","8",,,,,,,,,,,,1324,"VILLAREAL, SAMAR","8",,,,,,,,,,,,,
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,0.0,0.0,0.2,0.0,0.8,2.4,4.2,0.0,0.0,0.0,7.6,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",0.2,0.0,26.4,51.8,2.4,0.2,0.2,0.0,0.0,,81.2,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",,,,,,,,,,,,,88.8
626,"KIAMBA, SARANGANI",12,,,,,,,,,,0.0,0,626,"KIAMBA, SARANGANI","12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.0,19.8,24.2,626,"KIAMBA, SARANGANI","12",5.2,6.0,0.0,0.0,6.5,4.8,5.0,0.4,22.8,0.0,0.0,50.7,74.9
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",0.0,0.0,0.2,,,,,,,,0.2,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,,0.2
351,"CARMEN, BOHOL",7,,,,,,,,0.0,,0.0,0,351,"CARMEN, BOHOL","7",21.8,20.2,8.4,0.8,0.4,18.2,0.2,6.8,0.0,7.8,84.6,351,"CARMEN, BOHOL","7",3.2,83.0,13.4,2.6,1.4,0.4,0.0,0.0,0.0,0.4,0.0,104.4,189
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.0,0.0,0.4,11.4,5.4,,,0.0,0.0,0.0,17.2,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.0,1.0,13.4,8.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,23.6,41.4
328,"AYUTI, QUEZON",4-A,0.0,0.0,0.6,0.0,5.6,1.0,16.8,0.0,0.6,4.2,28.8,328,"AYUTI, QUEZON","4-A",13.6,0.0,0.0,2.0,7.4,0.2,0.0,0.0,0.0,6.4,29.6,328,"AYUTI, QUEZON","4-A",19.2,4.0,8.2,40.8,9.8,3.0,11.6,3.6,0.0,0.0,0.0,100.2,158.6
865,"ILAGAN, ISABELA",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,865,"ILAGAN, ISABELA","2",0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.6,865,"ILAGAN, ISABELA","2",0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,1.8
934,"KAPATAGAN, LANAO DEL SUR",ARMM,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,0.0,0.0,0.6,0.0,,,4.4,0.2,0.0,5.2,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.4,5.8
