,,,May 2016,,,,,,,,,,,,,,May 2016,,,,,,,,,,,,,,May 2016,,,,,,,,,,,,
853,"BANGA, AKLAN",6,0.0,0.0,,0.2,0.0,,,,,0.0,0.2,853,"BANGA, AKLAN","6",0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.6,853,"BANGA, AKLAN","6",0.0,15.8,0.0,2.4,30.6,0.0,7.2,0.0,0.0,0.0,0.4,56.4,61.2
318,"UBAY, BOHOL",7,,,,,,,,,,,,318,"UBAY, BOHOL","7",,,,,,,,,,,,318,"UBAY, BOHOL","7",,,,,,,,,,,,,
880,"T'BOLI, SOUTH COTABATO",12,,,,,,,,,,,,880,"T'BOLI, SOUTH COTABATO","12",,,,,,,,,,,,880,"T'BOLI, SOUTH COTABATO","12",,,,,,,,,,,,,
916,"MAGALANG, PAMPANGA",3,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,916,"MAGALANG, PAMPANGA","3",,0.0,0.0,0.0,0.0,0.0,0.0,,38.6,0.6,39.2,916,"MAGALANG, PAMPANGA","3",0.0,0.0,0.0,14.0,8.2,0.0,0.0,0.0,0.2,11.8,,34.2,73.4
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,0.0,0.0,,0.0,0.0,,,,,0.0,0,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",3.6,1.8,0.2,7.4,1.2,0.0,0.0,0.0,0.0,0.0,14.2,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",0.0,47.0,3.0,1.6,2.2,0.0,0.0,1.4,6.2,3.0,0.0,64.4,78.6
342,"PAMPLONA, CAMARINES SUR",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,342,"PAMPLONA, CAMARINES SUR","5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,342,"PAMPLONA, CAMARINES SUR","5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
348,"BAIS, NEGROS ORIENTAL",7,0.2,2.6,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,9.5,348,"BAIS, NEGROS ORIENTAL","7",0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,348,"BAIS, NEGROS ORIENTAL","7",0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,17.1
929,"PALAYAN CITY, NUEVA ECIJA",3,,,,,,,,,,,,929,"PALAYAN CITY, NUEVA ECIJA","3",,,,,,,,,,,,929,"PALAYAN CITY, NUEVA ECIJA","3",,,,,,,,,,,,,
1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,3.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",0.0,0.0,0.0,0.0,0.0,13.6,0.0,49.0,1.4,0.0,64,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",42.8,0.0,16.4,0.0,0.0,0.0,0.0,48.2,0.0,0.0,0.0,107.4,175.6
876,"ABULUG, CAGAYAN",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8,876,"ABULUG, CAGAYAN","2",6.4,0.0,0.0,0.0,0.0,7.2,0.0,0.0,8.4,1.2,23.2,876,"ABULUG, CAGAYAN","2",10.4,2.2,0.0,0.4,69.0,,0.0,0.0,0.0,0.0,0.0,82,113.2
357,"POLANCO, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,,
1143,"MASBATE, MASBATE",5,,,,,,,,,,,,1143,"MASBATE, MASBATE","5",,,,,,,,,,,,1143,"MASBATE, MASBATE","5",,,0.0,0.0,0.0,,0.0,0.2,,,,0.2,0.2
344,"LABO, CAMARINES NORTE",5,0.0,0.0,0.0,2.4,8.0,0.0,0.2,0.0,0.0,0.0,10.6,344,"LABO, CAMARINES NORTE","5",0.0,0.0,7.6,5.8,0.0,0.0,0.0,0.0,13.8,2.4,29.6,344,"LABO, CAMARINES NORTE","5",0.6,7.6,0.0,0.0,0.0,,,,,0.0,49.6,57.8,98
922,"ROXAS PALAWAN, PALAWAN",4-B,,,,,,,,,,,,922,"ROXAS PALAWAN, PALAWAN","4-B",,,,,,,,,,,,922,"ROXAS PALAWAN, PALAWAN","4-B",,,,,,,,,,,,,
329,"SAN ANTONIO, QUEZON",4-A,0.0,,,0.0,,,,,,0.0,0,329,"SAN ANTONIO, QUEZON","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,329,"SAN ANTONIO, QUEZON","4-A",7.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,8
378,"BABATNGON, LEYTE",8,,,,,,,,,,,,378,"BABATNGON, LEYTE","8",,,,,,,,,,,,378,"BABATNGON, LEYTE","8",,,,,,,0.0,0.0,0.0,2.4,0.0,2.4,2.4
354,"NAVAL, BILIRAN",8,,,,,,,,,,,,354,"NAVAL, BILIRAN","8",,,,,,,,,,,,354,"NAVAL, BILIRAN","8",,,,,,,,,,,,,
899,"CAN-AVID, EASTERN SAMAR",8,,,,,,,,,,,,899,"CAN-AVID, EASTERN SAMAR","8",,,,,,,,,,,,899,"CAN-AVID, EASTERN SAMAR","8",,,,,,,,,,,,,
363,"SULOP, POBLACION, DAVAO DEL SUR",11,,,,,,,,,,,,363,"SULOP, POBLACION, DAVAO DEL SUR","11",,0.2,0.0,3.2,0.0,5.6,27.2,2.6,18.4,13.8,71,363,"SULOP, POBLACION, DAVAO DEL SUR","11",0.0,2.4,2.8,8.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,14.2,85.2
870,"LANAO DEL NORTE, LANAO DEL NORTE",10,17.6,7.4,8.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,33.4,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",0.0,0.0,0.0,0.0,10.6,0.0,26.0,0.0,23.4,0.0,60,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",7.8,2.2,0.0,0.0,1.4,0.0,0.2,3.4,0.0,2.2,0.0,17.2,110.6
898,"SAN MIGUEL, LEYTE",8,,,,,,,,,,,,898,"SAN MIGUEL, LEYTE","8",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,898,"SAN MIGUEL, LEYTE","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
902,"GERONA, TARLAC",3,,,,,,,,,,,,902,"GERONA, TARLAC","3",,0.0,47.6,0.0,0.0,0.0,,,6.8,0.0,54.4,902,"GERONA, TARLAC","3",0.0,5.2,3.8,,1.0,0.0,0.0,10.0,2.8,0.2,,23,77.4
987,"BASILAN, ISABELA CITY",9,0.6,2.4,0.2,28.6,0.4,0.0,15.4,2.0,0.0,2.0,51.6,987,"BASILAN, ISABELA CITY","9",0.0,0.0,0.0,0.0,,,,,,,0,987,"BASILAN, ISABELA CITY","9",,,,,,,,,,,,,51.6
376,"PIGCAWAYAN, COTABATO",12,,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO","12",,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO","12",,,,,,,,,,,,,
919,"PATNONGON, ANTIQUE",6,,,,,,,,,,0.0,0,919,"PATNONGON, ANTIQUE","6",0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.6,5.0,6.8,919,"PATNONGON, ANTIQUE","6",0.0,1.2,0.0,0.4,33.8,0.0,1.0,0.6,0.0,4.2,99.0,140.2,147
918,"SAN LUIS, AURORA",3,0.0,26.4,0.2,0.0,19.6,0.0,4.8,4.8,0.0,0.2,56,918,"SAN LUIS, AURORA","3",16.6,2.4,0.6,29.8,13.3,2.0,3.4,0.4,3.8,3.4,75.7,918,"SAN LUIS, AURORA","3",0.0,0.8,15.4,6.4,0.2,1.8,0.8,8.4,0.8,0.0,0.0,34.6,166.3
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,,,,,,,,,,,,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",,,,,,,,,,,,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",,,,,,,,,,,,,
349,"SIQUIJOR, SIQUIJOR",7,,,,,,,,,,,,349,"SIQUIJOR, SIQUIJOR","7",,,,,,,,,,,,349,"SIQUIJOR, SIQUIJOR","7",,,,,,,,,,,,,
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,20.0,2.0,16.2,0.0,0.6,3.4,0.2,0.0,0.0,28.8,71.2,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",0.0,0.0,9.0,0.0,3.4,9.8,3.4,2.8,30.2,29.2,87.8,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",47.8,0.2,8.8,0.2,36.2,4.2,1.2,0.0,0.0,4.4,4.6,107.6,266.6
924,"PANIT-AN, CAPIZ",6,,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,,
872,"KALILANGAN, BUKIDNON",10,,,,,,,,,,,,872,"KALILANGAN, BUKIDNON","10",,,,,,,,,,,,872,"KALILANGAN, BUKIDNON","10",,,,,,,,,,,,,
340,"SUAL, PANGASINAN",1,12.0,3.8,0.0,0.0,0.0,13.6,16.6,0.0,0.0,0.0,46,340,"SUAL, PANGASINAN","1",20.4,0.0,2.4,0.0,5.2,0.0,0.0,0.4,50.0,6.0,84.4,340,"SUAL, PANGASINAN","1",6.0,1.6,10.8,0.2,28.0,0.0,0.2,0.4,8.0,2.8,7.4,65.4,195.8
359,"IPIL, ZAMBOANGA SIBUGAY",9,0.2,1.0,1.8,0.0,1.0,1.6,0.0,0.0,0.0,9.2,14.8,359,"IPIL, ZAMBOANGA SIBUGAY","9",0.0,0.0,0.0,1.0,8.4,33.8,4.4,9.4,38.6,15.4,111,359,"IPIL, ZAMBOANGA SIBUGAY","9",32.6,18.6,1.6,2.2,5.0,7.6,19.4,0.0,2.6,0.0,0.0,89.6,215.4
896,"BARILI, CEBU",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,896,"BARILI, CEBU","7",0.0,0.0,0.0,0.0,5.6,0.2,0.0,0.0,0.0,0.0,5.8,896,"BARILI, CEBU","7",0.6,4.2,1.0,0.2,6.2,0.0,0.0,0.0,8.0,0.6,0.0,20.8,26.6
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,,,,,,,,,,,,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,,,,,,,,,,,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,,,,,,,,,,,,
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,,,,,,,,,,,,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",,,,,,0.0,,,,,0,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",,,,0.0,,,,,,,,0,0
1141,"STA. BARBARA - ILOILO, ILOILO",6,,,,,,,,,,0.0,0,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.4,0.2,0.0,0.1,0.0,0.0,0.0,0.0,2.4,0.1,3.2,4.7
903,"BOTOLAN, ZAMBALES",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,5.6,903,"BOTOLAN, ZAMBALES","3",5.6,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,9.6,903,"BOTOLAN, ZAMBALES","3",0.0,1.0,50.6,13.2,35.2,5.0,0.0,0.0,0.0,0.0,29.8,134.8,150
927,"BAGO CITY, NEGROS OCCIDENTAL",6,,,,,,,,,,,,927,"BAGO CITY, NEGROS OCCIDENTAL","6",,,,,,,,,,,,927,"BAGO CITY, NEGROS OCCIDENTAL","6",,,,,,,,,,,,,
316,"STO TOMAS, DAVAO DEL NORTE",11,,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",0.0,,,,,,,,,,0,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,,0
879,"TACURONG CITY, SULTAN KUDARAT",12,,,,,,,,,,,,879,"TACURONG CITY, SULTAN KUDARAT","12",,,,,,,,,,,,879,"TACURONG CITY, SULTAN KUDARAT","12",,,,,,,,,,,,,
866,"GUINSILIBAN, CAMIGUIN",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,866,"GUINSILIBAN, CAMIGUIN","10",0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,4.0,4.4,866,"GUINSILIBAN, CAMIGUIN","10",0.2,13.2,2.2,0.0,22.4,0.0,7.0,0.0,0.0,0.0,0.6,45.6,50
372,"ROXAS, ISABELA",2,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,6.4,0.2,13,372,"ROXAS, ISABELA","2",19.8,12.9,0.0,0.0,0.0,29.4,2.2,78.6,1.4,0.0,144.3,372,"ROXAS, ISABELA","2",47.8,0.0,5.6,0.0,0.0,6.4,0.0,3.6,6.4,28.6,8.0,106.4,263.7
890,"ESPERANZA, AGUSAN DEL SUR",13,,,,,,,,,,0.4,0.4,890,"ESPERANZA, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,,0.4
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,18.4,1.8,9.8,3.2,0.0,0.0,0.0,8.4,0.0,24.0,65.6,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",36.4,6.6,0.0,11.8,6.2,18.6,0.2,21.6,0.0,0.4,101.8,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",60.0,18.2,1.8,0.0,5.6,0.8,12.2,4.8,0.4,5.2,0.4,109.4,276.8
917,"CALINOG, ILOILO",6,0.0,0.0,,0.0,0.0,,,,,0.0,0,917,"CALINOG, ILOILO","6",0.0,0.0,0.0,4.4,0.0,0.0,3.2,7.2,0.2,0.2,15.2,917,"CALINOG, ILOILO","6",0.0,0.2,0.2,28.2,2.8,0.4,2.6,1.0,0.6,4.6,44.0,84.6,99.8
1128,"ALCANTARA, ROMBLON",4-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1128,"ALCANTARA, ROMBLON","4-B",0.0,0.0,0.0,0.0,0.0,11.0,1.8,0.0,0.0,0.0,12.8,1128,"ALCANTARA, ROMBLON","4-B",4.4,77.2,1.8,0.0,31.2,0.0,0.0,6.0,0.0,14.2,0.0,134.8,147.6
503,"AGLIPAY, QUIRINO",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,503,"AGLIPAY, QUIRINO","2",48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6,503,"AGLIPAY, QUIRINO","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,3.9,52.5
1324,"VILLAREAL, SAMAR",8,,,,,,,,,,,,1324,"VILLAREAL, SAMAR","8",,,,,,,,,,,,1324,"VILLAREAL, SAMAR","8",,,,,,,,,,,,,
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,,,,,,,,,,,,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",,,0.0,9.8,0.0,0.0,54.2,0.0,1.0,34.2,99.2,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",9.2,18.4,0.0,0.0,0.0,0.0,1.4,16.6,0.0,6.2,0.0,51.8,151
626,"KIAMBA, SARANGANI",12,30.0,4.4,23.4,1.6,0.4,7.8,0.0,0.0,0.0,0.8,68.4,626,"KIAMBA, SARANGANI","12",0.2,2.0,0.0,5.8,0.0,2.2,8.4,26.4,0.0,0.0,45,626,"KIAMBA, SARANGANI","12",0.0,0.0,0.0,0.0,23.2,0.0,1.0,111.8,0.0,2.8,20.6,159.4,272.8
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,10.8,0.0,0.2,3.0,0.2,0.0,0.0,0.4,0.6,0.0,15.2,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",0.0,0.6,0.0,64.2,0.0,12.4,2.2,0.0,0.0,5.6,85,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",0.0,76.2,7.6,0.0,11.2,0.0,,,,,,95,195.2
351,"CARMEN, BOHOL",7,,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,0.0,6.6,1.8,0.6,9,351,"CARMEN, BOHOL","7",7.4,1.0,0.0,34.0,0.2,0.0,0.0,0.2,0.0,0.4,0.0,43.2,52.2
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,,,,,,,,,,,,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",,,,,,,1.4,14.2,66.6,2.8,85,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.0,57.2,29.4,0.2,0.0,2.8,0.2,8.8,0.0,5.6,0.0,104.2,189.2
328,"AYUTI, QUEZON",4-A,,0.0,0.0,0.0,,,,,,,0,328,"AYUTI, QUEZON","4-A",,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,328,"AYUTI, QUEZON","4-A",6.6,4.0,0.4,22.8,2.2,0.0,0.0,9.8,24.0,0.0,1.4,71.2,71.2
865,"ILAGAN, ISABELA",2,,,,,,,,,,,,865,"ILAGAN, ISABELA","2",,,,,,,0.0,3.4,0.0,0.0,3.4,865,"ILAGAN, ISABELA","2",8.2,0.0,9.6,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,31,34.4
934,"KAPATAGAN, LANAO DEL SUR",ARMM,,,,,,,,,,,,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,,,
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
358,"DUMINGAG, ZAMBOANGA DEL SUR",9,,,0.0,0.0,4.0,0.0,0.0,2.0,0.0,49.4,55.4,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",5.2,0.0,0.0,0.0,2.2,5.2,15.4,9.4,0.2,5.3,42.9,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",56.4,0.0,0.2,9.6,29.0,3.0,32.8,0.2,0.0,38.2,0.2,169.6,267.9
338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,,,,,,,,,,,,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",,,,,,,,,,,,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",,,,,2.0,0.4,0.0,0.0,7.0,1.8,4.6,15.8,15.8
353,"MALITBOG, SOUTHERN LEYTE",8,,,,,,,,,,,,353,"MALITBOG, SOUTHERN LEYTE","8",,,,,,,0.0,,,,0,353,"MALITBOG, SOUTHERN LEYTE","8",,,,,,,,,,,,,0
333,"BUCAY, ABRA",CAR,,,,,,,,,,,,333,"BUCAY, ABRA","CAR",,,,,0.2,2.2,0.2,0.8,0.0,13.4,16.8,333,"BUCAY, ABRA","CAR",3.8,1.0,13.6,0.0,21.2,4.8,26.4,0.0,0.0,1.4,34.8,107,123.8
1080,"SABLAYAN, OCCIDENTAL MINDORO",4-B,,,,0.0,0.0,,,,0.0,0.0,0,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",0.0,0.0,13.0,0.0,0.8,0.2,0.6,14.8,35.2,0.0,64.6,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",1.6,15.0,0.0,0.0,0.8,0.0,0.8,0.6,0.0,15.0,1.4,35.2,99.8
365,"BANAYBANAY, DAVAO ORIENTAL",11,,,,,,,,,,,,365,"BANAYBANAY, DAVAO ORIENTAL","11",,,,,,,0.0,1.4,0.0,0.0,1.4,365,"BANAYBANAY, DAVAO ORIENTAL","11",0.0,0.0,0.0,0.0,0.0,1.2,1.8,10.2,0.0,37.8,0.0,51,52.4
867,"DANGCAGAN, BUKIDNON",10,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,20,867,"DANGCAGAN, BUKIDNON","10",16.8,0.0,0.0,3.6,66.2,14.0,0.2,11.4,1.4,15.4,129,867,"DANGCAGAN, BUKIDNON","10",4.4,0.6,5.4,0.2,2.0,7.4,24.8,0.6,0.0,2.6,0.0,48,197
319,"NAIC CAMPUS, CAVITE",4-A,,,0.0,,,0.0,0.0,,,,0,319,"NAIC CAMPUS, CAVITE","4-A",0.0,0.0,0.0,,,,0.0,,0.0,0.0,0,319,"NAIC CAMPUS, CAVITE","4-A",,,,0.0,15.4,,,,,34.8,1.8,52,52
502,"BAGABAG, NUEVA VIZCAYA",2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,502,"BAGABAG, NUEVA VIZCAYA","2",52.8,39.2,0.0,1.0,0.2,2.0,3.4,25.4,63.4,16.0,203.4,502,"BAGABAG, NUEVA VIZCAYA","2",2.2,1.2,43.0,26.2,25.6,0.0,14.2,11.8,15.8,0.0,3.6,143.6,347.6
920,"GUIMBA, NUEVA ECIJA",3,20.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,22,920,"GUIMBA, NUEVA ECIJA","3",0.0,0.0,0.4,0.0,,0.0,47.6,6.4,24.0,0.2,78.6,920,"GUIMBA, NUEVA ECIJA","3",0.0,0.0,2.0,0.0,34.6,0.0,0.0,1.4,,19.0,99.0,156,256.6
381,"ARAKAN, COTABATO",12,0.0,,,,,,,,,,0,381,"ARAKAN, COTABATO","12",,,,,,,,,,,,381,"ARAKAN, COTABATO","12",,,,,,,,,,,,,0
