,,,February 2016,,,,,,,,,,,,,,February 2016,,,,,,,,,,,,,,February 2016,,,,,,,,,,
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,0.0,116.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,128,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",24.0,0.0,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,25.2,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,5.9,11.8,165
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,0.0,0.0,0.0,0.0,0.0,0.0,29.8,0.0,0.0,1.8,31.6,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.8,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,0.0,39,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,0.0,12.2,0.0,0.0,0.0,1.4,0.0,0.0,13.6,84.2
900,"CATUBIG, NORTHERN SAMAR",8,,,,,,,,,,,,900,"CATUBIG, NORTHERN SAMAR","8",,,,,,,,,,,,900,"CATUBIG, NORTHERN SAMAR","8",,,,,,,,,,,
367,"PLARIDEL, MISAMIS OCCIDENTAL",10,0.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",0.0,0.0,0.0,0.2,0.0,0.4,1.2,0.0,0.0,0.0,1.8,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.4,4.4
853,"BANGA, AKLAN",6,5.0,19.8,0.0,0.4,0.4,0.0,7.8,4.8,1.0,0.4,39.6,853,"BANGA, AKLAN","6",1.6,0.0,0.0,23.0,2.2,0.4,7.0,0.0,0.0,0.0,34.2,853,"BANGA, AKLAN","6",0.0,0.0,0.0,0.0,17.2,5.8,4.2,0.0,0.4,27.6,101.4
318,"UBAY, BOHOL",7,,,,,,,,,,,,318,"UBAY, BOHOL","7",,,,,,,,,,,,318,"UBAY, BOHOL","7",,,,,,,,,,,
880,"T'BOLI, SOUTH COTABATO",12,,,,,,,,,,,,880,"T'BOLI, SOUTH COTABATO","12",,,,,,,,,,,,880,"T'BOLI, SOUTH COTABATO","12",,,,,,,,,,,
916,"MAGALANG, PAMPANGA",3,,,,,,,,,,,,916,"MAGALANG, PAMPANGA","3",,,,,,,,,,,,916,"MAGALANG, PAMPANGA","3",,,,,,,,,,,
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,,,,,,,,,,,,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",,0.0,2.2,10.0,0.0,2.4,1.2,0.0,0.0,0.0,15.8,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",0.0,2.0,0.0,4.6,4.4,3.6,9.8,0.0,0.0,24.4,40.2
342,"PAMPLONA, CAMARINES SUR",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,342,"PAMPLONA, CAMARINES SUR","5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,342,"PAMPLONA, CAMARINES SUR","5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
348,"BAIS, NEGROS ORIENTAL",7,5.6,0.6,0.0,0.0,,,,,,,6.2,348,"BAIS, NEGROS ORIENTAL","7",,,,,,7.4,0.6,0.0,0.2,0.0,8.2,348,"BAIS, NEGROS ORIENTAL","7",0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,14.6
929,"PALAYAN CITY, NUEVA ECIJA",3,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,929,"PALAYAN CITY, NUEVA ECIJA","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,929,"PALAYAN CITY, NUEVA ECIJA","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1.2
1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,0.0,3.6,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,6.2,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",5.6,0.0,0.0,6.8,9.4,3.4,0.0,0.0,5.8,31,37.4
876,"ABULUG, CAGAYAN",2,,,,,,,,,,,,876,"ABULUG, CAGAYAN","2",,,,,,,,,,,,876,"ABULUG, CAGAYAN","2",,,,,,0.0,0.0,0.8,45.0,45.8,45.8
357,"POLANCO, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,
1143,"MASBATE, MASBATE",5,0.8,4.0,0.0,0.0,6.6,0.0,13.0,30.0,2.2,0.0,56.6,1143,"MASBATE, MASBATE","5",0.0,0.0,0.0,6.6,0.0,1.4,0.0,0.0,0.0,0.0,8,1143,"MASBATE, MASBATE","5",0.0,0.0,0.0,0.6,11.8,43.0,3.4,0.0,0.0,58.8,123.4
344,"LABO, CAMARINES NORTE",5,0.2,2.0,21.2,4.2,36.0,66.6,39.2,40.4,11.6,1.4,222.8,344,"LABO, CAMARINES NORTE","5",0.0,0.0,0.0,3.4,13.6,4.8,0.2,2.0,1.6,0.0,25.6,344,"LABO, CAMARINES NORTE","5",4.2,2.4,1.0,9.8,12.4,22.8,45.6,18.8,17.6,134.6,383
922,"ROXAS PALAWAN, PALAWAN",4-B,,,,,,,,,,,,922,"ROXAS PALAWAN, PALAWAN","4-B",,,,,,,,,,,,922,"ROXAS PALAWAN, PALAWAN","4-B",,,,,,,,,,,
329,"SAN ANTONIO, QUEZON",4-A,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,329,"SAN ANTONIO, QUEZON","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,329,"SAN ANTONIO, QUEZON","4-A",0.0,0.0,0.0,0.0,7.2,0.6,0.2,3.6,0.0,11.6,11.8
378,"BABATNGON, LEYTE",8,,,,,,,,,,,,378,"BABATNGON, LEYTE","8",,,,,,,,,,,,378,"BABATNGON, LEYTE","8",,,,,,,,,,,
354,"NAVAL, BILIRAN",8,7.2,1.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.2,10.8,354,"NAVAL, BILIRAN","8",0.0,0.0,5.2,10.0,0.0,27.0,4.8,0.0,0.4,0.0,47.4,354,"NAVAL, BILIRAN","8",0.0,0.0,0.0,0.8,1.8,14.2,1.2,3.4,0.0,21.4,79.6
899,"CAN-AVID, EASTERN SAMAR",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,899,"CAN-AVID, EASTERN SAMAR","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,899,"CAN-AVID, EASTERN SAMAR","8",0.0,0.0,,,,,,,,0,0
363,"SULOP, POBLACION, DAVAO DEL SUR",11,,,,,,,,,,,,363,"SULOP, POBLACION, DAVAO DEL SUR","11",,,,,,,,,,,,363,"SULOP, POBLACION, DAVAO DEL SUR","11",,,,,,,,,,,
870,"LANAO DEL NORTE, LANAO DEL NORTE",10,0.0,7.2,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",3.8,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,15.2,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",0.0,0.0,0.0,0.0,0.0,1.4,0.2,0.2,0.0,1.8,30.8
898,"SAN MIGUEL, LEYTE",8,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,5.8,898,"SAN MIGUEL, LEYTE","8",0.0,0.0,0.0,136.4,46.8,0.0,0.0,0.0,0.0,0.0,183.2,898,"SAN MIGUEL, LEYTE","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,189
902,"GERONA, TARLAC",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,902,"GERONA, TARLAC","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,902,"GERONA, TARLAC","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
987,"BASILAN, ISABELA CITY",9,0.0,3.8,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,8.6,987,"BASILAN, ISABELA CITY","9",4.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4.4,987,"BASILAN, ISABELA CITY","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13
376,"PIGCAWAYAN, COTABATO",12,0.0,0.0,15.8,0.0,0.0,0.0,6.2,0.0,0.0,0.0,22,376,"PIGCAWAYAN, COTABATO","12",1.2,0.0,1.8,0.2,0.0,8.4,0.0,0.0,,,11.6,376,"PIGCAWAYAN, COTABATO","12",,,,,,,,,,,33.6
919,"PATNONGON, ANTIQUE",6,0.0,0.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,6.4,919,"PATNONGON, ANTIQUE","6",0.0,0.0,0.0,5.6,0.2,0.0,0.0,0.0,0.0,0.0,5.8,919,"PATNONGON, ANTIQUE","6",0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,3.6,15.8
918,"SAN LUIS, AURORA",3,0.2,0.0,4.0,10.0,0.2,2.0,0.4,0.0,7.6,13.6,38,918,"SAN LUIS, AURORA","3",49.8,0.4,0.0,0.0,0.4,0.4,21.2,15.2,8.8,5.6,101.8,918,"SAN LUIS, AURORA","3",30.6,9.0,0.2,0.8,28.2,1.4,0.0,0.0,0.6,70.8,210.6
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,,,,,,,,,,,,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",,,,,,,,,,,,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",,,,,,,,,,,
349,"SIQUIJOR, SIQUIJOR",7,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,5.7,349,"SIQUIJOR, SIQUIJOR","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,349,"SIQUIJOR, SIQUIJOR","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.7
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,0.0,6.0,0.0,0.0,3.6,0.0,0.2,0.0,0.0,0.0,9.8,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,4.8,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.8,0.0,60.8,75.4
924,"PANIT-AN, CAPIZ",6,5.4,4.4,2.0,0.0,0.0,0.0,2.6,11.2,0.0,0.0,25.6,924,"PANIT-AN, CAPIZ","6",0.0,0.0,2.0,31.0,0.0,1.0,10.2,0.0,0.0,0.0,44.2,924,"PANIT-AN, CAPIZ","6",0.0,0.0,0.0,0.0,6.0,9.6,0.0,0.0,0.0,15.6,85.4
872,"KALILANGAN, BUKIDNON",10,,,,,,,,,,,,872,"KALILANGAN, BUKIDNON","10",,,,,,,,,,,,872,"KALILANGAN, BUKIDNON","10",,,,,,,,,,,
340,"SUAL, PANGASINAN",1,0.0,0.0,0.0,0.0,0.8,5.0,0.0,0.0,0.0,0.4,6.2,340,"SUAL, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,340,"SUAL, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.2
359,"IPIL, ZAMBOANGA SIBUGAY",9,0.2,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,359,"IPIL, ZAMBOANGA SIBUGAY","9",0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,359,"IPIL, ZAMBOANGA SIBUGAY","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.2
896,"BARILI, CEBU",7,13.8,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,896,"BARILI, CEBU","7",0.0,0.0,1.8,9.0,0.0,5.6,1.4,,,,17.8,896,"BARILI, CEBU","7",,,,,,,,,0.0,0,36.2
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,,,,,,,,,,,,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,,,,,,,,,,,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,,,,,,,,,,
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,1.4,3.0,1.8,0.0,11.6,16.0,2.0,8.6,11.2,0.4,56,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.0,0.0,0.0,0.0,0.0,2.4,0.0,4.2,0.0,0.0,6.6,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.0,0.0,0.0,0.0,8.0,3.8,53.2,2.4,4.4,71.8,134.4
1141,"STA. BARBARA - ILOILO, ILOILO",6,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6
903,"BOTOLAN, ZAMBALES",3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,903,"BOTOLAN, ZAMBALES","3",0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,4.9,903,"BOTOLAN, ZAMBALES","3",0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,5.3,14.9
927,"BAGO CITY, NEGROS OCCIDENTAL",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,927,"BAGO CITY, NEGROS OCCIDENTAL","6",,,,,,,,,,,,927,"BAGO CITY, NEGROS OCCIDENTAL","6",,,,,,,,,,,0
316,"STO TOMAS, DAVAO DEL NORTE",11,,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,
879,"TACURONG CITY, SULTAN KUDARAT",12,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,879,"TACURONG CITY, SULTAN KUDARAT","12",2.2,,,,,,,,0.2,,2.4,879,"TACURONG CITY, SULTAN KUDARAT","12",,,,,,,,,,,2.6
866,"GUINSILIBAN, CAMIGUIN",10,0.2,0.0,4.0,10.0,0.2,2.0,0.4,0.0,7.6,13.6,38,866,"GUINSILIBAN, CAMIGUIN","10",49.8,0.4,0.0,0.0,0.4,0.4,21.2,15.2,8.8,5.6,101.8,866,"GUINSILIBAN, CAMIGUIN","10",30.6,9.0,0.2,0.8,28.2,1.4,0.0,0.0,0.6,70.8,210.6
372,"ROXAS, ISABELA",2,0.0,2.6,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,4,372,"ROXAS, ISABELA","2",0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,372,"ROXAS, ISABELA","2",2.0,0.0,0.0,1.2,5.2,0.0,0.0,0.6,10.4,19.4,23.6
890,"ESPERANZA, AGUSAN DEL SUR",13,,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0.0,0.0,0.2,0.0,7.2,0.2,4.6,0.0,0.0,0.4,12.6,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",1.4,0.0,0.4,0.0,0.0,16.6,0.0,0.0,0.0,0.0,18.4,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",0.0,0.0,4.4,0.0,0.0,0.0,0.2,0.8,0.0,5.4,36.4
917,"CALINOG, ILOILO",6,1.8,6.4,0.4,0.0,0.0,0.0,3.4,1.4,0.4,0.0,13.8,917,"CALINOG, ILOILO","6",0.0,0.0,0.0,34.6,4.2,2.8,1.2,0.2,4.4,0.0,47.4,917,"CALINOG, ILOILO","6",0.0,0.8,0.2,0.2,0.8,55.8,41.6,0.0,0.0,99.4,160.6
1128,"ALCANTARA, ROMBLON",4-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,29.0,0.0,54.4,1128,"ALCANTARA, ROMBLON","4-B",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1128,"ALCANTARA, ROMBLON","4-B",0.0,0.0,0.0,0.0,0.0,4.2,11.0,0.0,0.0,15.2,70.6
503,"AGLIPAY, QUIRINO",2,0.0,1.8,11.4,1.0,0.2,7.0,5.0,5.6,0.6,0.4,33,503,"AGLIPAY, QUIRINO","2",0.0,0.0,0.0,0.0,3.4,1.4,0.0,0.0,0.0,8.4,13.2,503,"AGLIPAY, QUIRINO","2",9.8,0.2,0.0,20.6,26.4,4.8,0.0,0.0,12.6,74.4,120.6
1324,"VILLAREAL, SAMAR",8,,,,,,,,,,,,1324,"VILLAREAL, SAMAR","8",,,,,,,,,,,,1324,"VILLAREAL, SAMAR","8",,,,,,,,,,,
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,0.0,0.0,0.6,8.8,0.0,12.2,6.0,10.4,1.6,0.0,39.6,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",0.0,0.0,0.0,10.4,13.8,0.6,0.0,0.0,0.0,0.0,24.8,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",1.6,0.0,0.4,3.2,6.0,26.0,51.4,0.0,22.8,111.4,175.8
626,"KIAMBA, SARANGANI",12,,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,0.0,0,0
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,
351,"CARMEN, BOHOL",7,,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,,,,,,,,,,,,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",,,,,,,,,,,,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",,,,,,,,,,,
328,"AYUTI, QUEZON",4-A,,,,,,,,,,,,328,"AYUTI, QUEZON","4-A",,,,,,,,,,,,328,"AYUTI, QUEZON","4-A",,,,,,,,,,,
865,"ILAGAN, ISABELA",2,0.0,0.6,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.2,865,"ILAGAN, ISABELA","2",0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,865,"ILAGAN, ISABELA","2",0.6,0.0,0.0,,,,,,,0.6,2.2
934,"KAPATAGAN, LANAO DEL SUR",ARMM,,,,,,,,,,,,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,
358,"DUMINGAG, ZAMBOANGA DEL SUR",9,0.0,0.0,0.2,1.0,2.2,0.4,0.4,0.0,0.0,0.0,4.2,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",0.0,0.0,0.0,62.6,0.0,0.0,0.0,0.0,0.6,0.0,63.2,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",0.2,0.2,0.0,0.0,1.2,0.2,0.0,0.4,0.0,2.2,69.6
338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2
353,"MALITBOG, SOUTHERN LEYTE",8,,,,,,,,,,,,353,"MALITBOG, SOUTHERN LEYTE","8",,,,,,,,,,,,353,"MALITBOG, SOUTHERN LEYTE","8",,,,,,,,,,,
333,"BUCAY, ABRA",CAR,,,,,,,,,,,,333,"BUCAY, ABRA","CAR",,,,,,,,,,,,333,"BUCAY, ABRA","CAR",,,,,,,,,,,
1080,"SABLAYAN, OCCIDENTAL MINDORO",4-B,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.4,0.0,5.6,11.6
365,"BANAYBANAY, DAVAO ORIENTAL",11,,,,,,,,,,,,365,"BANAYBANAY, DAVAO ORIENTAL","11",,,,,,,,,,,,365,"BANAYBANAY, DAVAO ORIENTAL","11",,,,,,0.0,1.2,0.2,0.0,1.4,1.4
867,"DANGCAGAN, BUKIDNON",10,,,,,,,,,,,,867,"DANGCAGAN, BUKIDNON","10",0.0,0.2,0.0,8.8,0.2,0.0,0.0,0.0,0.0,0.0,9.2,867,"DANGCAGAN, BUKIDNON","10",0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,9.8
319,"NAIC CAMPUS, CAVITE",4-A,,,,,,,,,,,,319,"NAIC CAMPUS, CAVITE","4-A",,,,,,,,,,,,319,"NAIC CAMPUS, CAVITE","4-A",,,,,,,,,,,
502,"BAGABAG, NUEVA VIZCAYA",2,0.0,0.0,2.0,0.0,0.0,0.6,0.4,0.8,0.0,0.0,3.8,502,"BAGABAG, NUEVA VIZCAYA","2",0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1,502,"BAGABAG, NUEVA VIZCAYA","2",3.2,0.0,0.0,5.6,3.6,0.0,0.0,2.2,6.2,20.8,25.6
920,"GUIMBA, NUEVA ECIJA",3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,920,"GUIMBA, NUEVA ECIJA","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,920,"GUIMBA, NUEVA ECIJA","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
381,"ARAKAN, COTABATO",12,0.0,0.0,15.8,0.0,0.0,0.0,6.2,0.0,0.0,0.0,22,381,"ARAKAN, COTABATO","12",1.2,0.2,3.4,20.8,0.0,8.4,0.0,0.0,0.0,0.0,34,381,"ARAKAN, COTABATO","12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56
341,"STA. MARIA - ILOCOS SUR, ILOCOS SUR",1,,,,,,,,,,,,341,"STA. MARIA - ILOCOS SUR, ILOCOS SUR","1",,,,,,,,,,,,341,"STA. MARIA - ILOCOS SUR, ILOCOS SUR","1",,,,,,,,,,,
