,,,October 2018,,,,,,,,,,,,,,October 2018,,,,,,,,,,,,,,October 2018,,,,,,,,,,,,
368,"KITCHARAO, AGUSAN DEL NORTE",13,27.2,34.4,21.0,0.0,0.8,5.2,0.0,0.0,0.0,0.0,88.6,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.2,0.2,2.0,9.0,0.0,1.0,0.0,0.0,1.4,3.8,17.6,368,"KITCHARAO, AGUSAN DEL NORTE","13",3.8,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.4,0.0,5.0,22.6,128.8
875,"LASAM, CAGAYAN",2,,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,,
869,"MALAYBALAY, BUKIDNON",10,,,,,,,,,,,,869,"MALAYBALAY, BUKIDNON","10",,,,,,,,,,,,869,"MALAYBALAY, BUKIDNON","10",,,,,,,,,,,,,
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,5.2,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",0.0,4.8,15.8,10.4,3.4,7.4,22.2,16.4,35.2,5.8,121.4,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",19.8,0.6,0.0,7.0,10.4,0.0,10.8,0.0,0.8,25.2,0.2,74.8,201.4
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,4.8,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",22.4,2.2,0.0,2.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,27.4,32.2
900,"CATUBIG, NORTHERN SAMAR",8,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,900,"CATUBIG, NORTHERN SAMAR","8",0.0,10.2,6.4,14.0,1.6,0.0,0.0,0.0,56.4,1.2,89.8,900,"CATUBIG, NORTHERN SAMAR","8",3.2,6.2,55.2,3.0,0.0,1.6,0.0,,0.0,0.0,0.0,69.2,159
367,"PLARIDEL, MISAMIS OCCIDENTAL",10,,,,,,,,,,,,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",,,,,,,,,,,,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",,,,,,,,,,,,,
853,"BANGA, AKLAN",6,,,,,,,,,,,,853,"BANGA, AKLAN","6",,,,,,,,,,,,853,"BANGA, AKLAN","6",,,,,0.0,0.0,0.8,3.8,0.0,0.0,0.0,4.6,4.6
318,"UBAY, BOHOL",7,0.8,10.8,4.2,24.2,0.0,0.0,0.0,0.0,0.0,0.0,40,318,"UBAY, BOHOL","7",0.0,0.0,0.2,0.4,12.2,10.4,0.6,0.0,0.0,0.2,24,318,"UBAY, BOHOL","7",0.0,0.0,2.4,15.8,4.8,0.0,4.0,0.2,0.0,0.2,0.0,27.4,91.4
880,"T'BOLI, SOUTH COTABATO",12,,,,,,,,,,,,880,"T'BOLI, SOUTH COTABATO","12",,,,,,,0.0,1.0,0.0,0.8,1.8,880,"T'BOLI, SOUTH COTABATO","12",30.0,24.4,0.0,13.2,0.0,0.0,2.0,1.0,0.2,1.2,2.8,74.8,76.6
916,"MAGALANG, PAMPANGA",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,916,"MAGALANG, PAMPANGA","3",,,,,,,,,,,,916,"MAGALANG, PAMPANGA","3",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,0.0,0.0,0.0,0.0,0.2,0.0,0.0,,,,0.2,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",,,,,,,,,,,,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",,,,,,0.0,0.0,0.2,0.0,12.8,0.8,13.8,14
342,"PAMPLONA, CAMARINES SUR",5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,342,"PAMPLONA, CAMARINES SUR","5",0.0,0.0,6.0,0.2,0.2,0.4,0.2,0.2,0.2,0.2,7.6,342,"PAMPLONA, CAMARINES SUR","5",0.4,0.2,0.2,0.0,0.0,1.2,0.4,6.2,0.0,0.0,0.0,8.6,16.4
348,"BAIS, NEGROS ORIENTAL",7,,,,,,,,,,,,348,"BAIS, NEGROS ORIENTAL","7",,,,,,,,,,,,348,"BAIS, NEGROS ORIENTAL","7",,,,,,,,,,,,,
929,"PALAYAN CITY, NUEVA ECIJA",3,30.2,0.2,0.0,0.0,,,,,,,30.4,929,"PALAYAN CITY, NUEVA ECIJA","3",,,,,,,,0.0,0.0,,0,929,"PALAYAN CITY, NUEVA ECIJA","3",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,32.4
1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,36.2,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,37.6,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",0.0,0.0,0.0,0.0,3.6,0.0,21.8,0.2,2.2,3.8,31.6,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",0.2,0.0,0.0,5.6,0.0,0.0,0.0,0.0,1.0,35.6,0.0,42.4,111.6
876,"ABULUG, CAGAYAN",2,,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,876,"ABULUG, CAGAYAN","2",9.0,0.6,0.2,0.0,0.0,0.0,3.4,0.0,54.0,0.0,67.2,876,"ABULUG, CAGAYAN","2",0.0,0.0,0.0,33.6,0.0,0.8,0.0,,,,,34.4,105.8
357,"POLANCO, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,,
1143,"MASBATE, MASBATE",5,21.8,0.4,0.0,8.8,0.0,4.2,0.0,0.0,0.0,0.0,35.2,1143,"MASBATE, MASBATE","5",0.0,0.0,0.0,1.2,0.0,2.4,0.0,0.0,0.0,1.4,5,1143,"MASBATE, MASBATE","5",0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,41.4
344,"LABO, CAMARINES NORTE",5,5.0,28.4,0.0,0.0,13.4,1.0,0.6,3.2,0.0,0.0,51.6,344,"LABO, CAMARINES NORTE","5",2.4,8.6,9.8,9.2,0.0,0.0,2.6,0.0,7.2,24.0,63.8,344,"LABO, CAMARINES NORTE","5",33.6,5.8,2.8,0.4,7.4,0.0,17.0,0.0,0.0,0.0,0.0,67,182.4
922,"ROXAS PALAWAN, PALAWAN",4-B,9.8,3.8,9.6,2.6,0.0,0.0,3.0,16.0,0.0,8.4,53.2,922,"ROXAS PALAWAN, PALAWAN","4-B",0.0,0.2,17.4,10.8,1.6,5.6,0.6,,0.0,2.4,38.6,922,"ROXAS PALAWAN, PALAWAN","4-B",10.0,39.2,0.2,1.4,0.2,0.0,0.0,8.6,1.0,0.2,0.0,60.8,152.6
329,"SAN ANTONIO, QUEZON",4-A,0.0,15.0,9.4,0.0,0.0,10.4,0.0,0.0,2.2,24.4,61.4,329,"SAN ANTONIO, QUEZON","4-A",0.0,0.0,0.0,0.0,1.2,0.0,1.4,0.0,0.0,0.0,2.6,329,"SAN ANTONIO, QUEZON","4-A",4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,4.6,68.6
378,"BABATNGON, LEYTE",8,0.0,,,,,,,,,,0,378,"BABATNGON, LEYTE","8",,,,,,,,,,,,378,"BABATNGON, LEYTE","8",,,,,,,,,,,,,0
354,"NAVAL, BILIRAN",8,0.0,0.4,0.0,0.0,0.0,7.0,13.2,1.6,10.8,0.0,33,354,"NAVAL, BILIRAN","8",0.0,0.0,1.6,6.6,0.0,12.2,0.0,0.0,12.2,0.6,33.2,354,"NAVAL, BILIRAN","8",16.6,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,36.4,102.6
899,"CAN-AVID, EASTERN SAMAR",8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.4,899,"CAN-AVID, EASTERN SAMAR","8",0.0,4.2,8.2,18.4,0.2,0.0,0.0,0.0,6.4,2.0,39.4,899,"CAN-AVID, EASTERN SAMAR","8",3.0,9.6,45.4,0.0,0.0,0.0,2.4,0.0,0.2,0.0,0.0,60.6,101.4
363,"SULOP, POBLACION, DAVAO DEL SUR",11,11.4,9.6,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,363,"SULOP, POBLACION, DAVAO DEL SUR","11",0.0,0.0,0.0,0.4,2.6,18.6,7.0,2.4,30.2,0.0,61.2,363,"SULOP, POBLACION, DAVAO DEL SUR","11",2.2,20.8,0.0,32.8,1.0,0.0,0.0,0.0,0.4,0.0,0.0,57.2,141.6
870,"LANAO DEL NORTE, LANAO DEL NORTE",10,,,,,,,,,,,,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",,,,,,,,,,,,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",,,,,,,,,,,,,
898,"SAN MIGUEL, LEYTE",8,3.6,6.6,0.0,0.8,0.0,0.2,25.4,6.0,3.8,0.4,46.8,898,"SAN MIGUEL, LEYTE","8",0.0,2.6,1.0,3.8,0.0,1.4,0.0,2.0,42.8,13.0,66.6,898,"SAN MIGUEL, LEYTE","8",3.6,6.8,6.0,1.4,0.0,0.0,0.0,0.0,1.8,0.0,0.0,19.6,133
902,"GERONA, TARLAC",3,1.6,64.0,0.0,0.0,,,,,,,65.6,902,"GERONA, TARLAC","3",,,,,,,,,,,,902,"GERONA, TARLAC","3",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.2,0.0,45.2,110.8
987,"BASILAN, ISABELA CITY",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,987,"BASILAN, ISABELA CITY","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,987,"BASILAN, ISABELA CITY","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0
376,"PIGCAWAYAN, COTABATO",12,,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO","12",,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO","12",,,,,,,,,,,,,
919,"PATNONGON, ANTIQUE",6,,,,,,,,,,,,919,"PATNONGON, ANTIQUE","6",,,,,,,,,,,,919,"PATNONGON, ANTIQUE","6",,,,,,,,,,,,,
918,"SAN LUIS, AURORA",3,3.8,0.0,0.0,0.0,0.0,,,,,,3.8,918,"SAN LUIS, AURORA","3",,,,,,,,0.0,,,0,918,"SAN LUIS, AURORA","3",,6.4,0.2,12.6,0.0,0.0,0.0,0.0,0.0,37.0,28.0,84.2,88
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,0.0,3.2,0.2,0.0,0.4,0.0,73.2,56.2,0.2,0.0,133.4,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",0.0,17.0,15.6,8.0,0.0,1.6,1.0,0.0,19.6,0.2,63,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",12.8,3.4,0.0,1.4,0.0,0.8,0.0,0.0,0.0,0.0,45.8,64.2,260.6
349,"SIQUIJOR, SIQUIJOR",7,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13.0,13.0,2.4,37.4,349,"SIQUIJOR, SIQUIJOR","7",0.0,0.0,5.8,1.8,1.2,1.0,30.8,19.6,10.2,36.8,107.2,349,"SIQUIJOR, SIQUIJOR","7",11.6,4.4,0.0,0.4,0.0,0.0,0.0,0.0,20.0,0.2,1.2,37.8,182.4
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,0.0,0.4,0.0,17.8,0.0,1.4,0.0,13.8,26.2,0.4,60,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",34.0,17.2,7.4,17.6,0.0,1.0,0.2,0.0,0.0,0.0,77.4,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",9.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,9.2,6.6,6.4,41.8,179.2
924,"PANIT-AN, CAPIZ",6,,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,,
872,"KALILANGAN, BUKIDNON",10,,,,,,,,,,,,872,"KALILANGAN, BUKIDNON","10",,,,,,,,,,,,872,"KALILANGAN, BUKIDNON","10",,,,,,,,,,,,,
340,"SUAL, PANGASINAN",1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,340,"SUAL, PANGASINAN","1",0.0,0.0,0.0,23.0,0.0,0.0,10.2,15.4,0.0,0.0,48.6,340,"SUAL, PANGASINAN","1",0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6,8.2,89.2,138.6
359,"IPIL, ZAMBOANGA SIBUGAY",9,0.2,13.6,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,22.2,359,"IPIL, ZAMBOANGA SIBUGAY","9",0.0,0.0,0.6,2.0,3.6,0.0,0.4,10.8,0.2,0.0,17.6,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,,,0.0,,,,,0,39.8
896,"BARILI, CEBU",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,896,"BARILI, CEBU","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,896,"BARILI, CEBU","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,2.6,1.0,,0.0,,,,,0.0,0.0,3.6,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,0.0,0.0,,,,,,,,0,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,1.2,,,,0.0,,,,,0.0,1.2,4.8
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,0.0,3.4,1.0,0.0,0.0,0.0,0.6,7.6,0.0,0.0,12.6,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.0,0.0,17.6,33.6,1.8,0.0,0.0,6.4,16.6,12.8,88.8,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",4.8,3.0,0.0,0.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,10,111.4
1141,"STA. BARBARA - ILOILO, ILOILO",6,,,,,,,,,,,,1141,"STA. BARBARA - ILOILO, ILOILO","6",,,,,,,,,,,,1141,"STA. BARBARA - ILOILO, ILOILO","6",,,,,,,,,,,,,
903,"BOTOLAN, ZAMBALES",3,0.0,0.0,0.0,0.0,,,,,,,0,903,"BOTOLAN, ZAMBALES","3",,,,,,,,,,,,903,"BOTOLAN, ZAMBALES","3",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
927,"BAGO CITY, NEGROS OCCIDENTAL",6,,,,,,,,,,,,927,"BAGO CITY, NEGROS OCCIDENTAL","6",,,,,,,,,,,,927,"BAGO CITY, NEGROS OCCIDENTAL","6",,,,,,,,,,,,,
316,"STO TOMAS, DAVAO DEL NORTE",11,,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,,
879,"TACURONG CITY, SULTAN KUDARAT",12,0.0,10.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,879,"TACURONG CITY, SULTAN KUDARAT","12",0.0,0.0,0.0,23.0,1.2,1.2,0.0,0.0,5.6,7.4,38.4,879,"TACURONG CITY, SULTAN KUDARAT","12",14.8,41.4,0.0,2.8,0.0,0.4,0.0,0.0,0.0,0.0,0.2,59.6,113.6
866,"GUINSILIBAN, CAMIGUIN",10,,,,,,,,,,,,866,"GUINSILIBAN, CAMIGUIN","10",,,,,,,,,,,,866,"GUINSILIBAN, CAMIGUIN","10",,,,,,,,,,,,,
372,"ROXAS, ISABELA",2,,,,,,,,,,,,372,"ROXAS, ISABELA","2",,,,,,,,,,,,372,"ROXAS, ISABELA","2",,,,,,,,,,,,,
890,"ESPERANZA, AGUSAN DEL SUR",13,,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,,
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",0.0,0.0,0.0,2.2,1.2,0.0,0.0,0.0,0.0,0.0,3.4,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.4,0.0,1.6,13.6
917,"CALINOG, ILOILO",6,,,,,,,,,,,,917,"CALINOG, ILOILO","6",,,,,,,,,,,,917,"CALINOG, ILOILO","6",,,,,,,,,,,,,
1128,"ALCANTARA, ROMBLON",4-B,,,,,,,,,,,,1128,"ALCANTARA, ROMBLON","4-B",,,,,,,,,,,,1128,"ALCANTARA, ROMBLON","4-B",,,,,,,,,,,,,
503,"AGLIPAY, QUIRINO",2,,,,,,,,,,,,503,"AGLIPAY, QUIRINO","2",,,,,,,,,,,,503,"AGLIPAY, QUIRINO","2",,,,,,,,,,,,,
1324,"VILLAREAL, SAMAR",8,0.8,5.4,0.2,3.8,1.2,7.4,9.8,0.4,129.8,6.4,165.2,1324,"VILLAREAL, SAMAR","8",84.4,18.8,4.2,0.8,0.2,0.4,0.2,0.0,5.0,11.4,125.4,1324,"VILLAREAL, SAMAR","8",6.0,4.0,1.8,3.6,0.4,0.0,0.0,0.0,0.4,0.0,1.0,17.2,307.8
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,0.6,4.4,0.2,0.0,5.8,0.0,0.0,0.0,0.4,0.0,11.4,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",0.0,0.0,0.6,0.4,1.8,0.0,0.0,0.0,2.6,0.2,5.6,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",22.6,0.4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,16.8,40.6,57.6
626,"KIAMBA, SARANGANI",12,,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,,,,,
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,0.2,0.0,0.0,0.0,0.2,0.0,2.8,0.0,0.0,0.0,3.2,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,,3.2
351,"CARMEN, BOHOL",7,,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,,
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,9.2,1.8,0.0,0.0,3.8,0.2,0.0,0.0,0.0,0.0,15,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,4.0,0.6,6.4,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",7.2,3.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12,33.4
328,"AYUTI, QUEZON",4-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,328,"AYUTI, QUEZON","4-A",0.0,0.0,0.0,0.0,0.0,,,,,,0,328,"AYUTI, QUEZON","4-A",,0.6,0.0,2.4,0.2,0.0,3.8,0.8,0.0,12.6,2.0,22.4,22.4
865,"ILAGAN, ISABELA",2,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,865,"ILAGAN, ISABELA","2",0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,26.8,8.8,46.6,865,"ILAGAN, ISABELA","2",0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,26.4,0.0,26.6,73.8
934,"KAPATAGAN, LANAO DEL SUR",ARMM,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,,
358,"DUMINGAG, ZAMBOANGA DEL SUR",9,,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,,
338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,0.6,1.4,0.0,0.0,0.2,0.0,0.0,0.0,0.8,33.6,36.6,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,3.2,2.2,14.6,0.2,0.0,0.0,0.0,20.2,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.6,0.2,64.8,121.6
353,"MALITBOG, SOUTHERN LEYTE",8,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0,353,"MALITBOG, SOUTHERN LEYTE","8",0.0,0.2,0.0,0.0,0.0,1.4,11.6,0.0,0.0,0.0,13.2,353,"MALITBOG, SOUTHERN LEYTE","8",0.0,1.8,0.0,0.0,0.4,0.2,0.0,1.4,5.6,0.6,0.0,10,23.2
333,"BUCAY, ABRA",CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,333,"BUCAY, ABRA","CAR",0.0,0.0,0.0,12.4,4.0,0.0,0.0,0.0,23.0,0.0,39.4,333,"BUCAY, ABRA","CAR",0.0,0.0,0.0,0.0,0.0,,,0.0,3.4,7.0,0.2,10.6,50
1080,"SABLAYAN, OCCIDENTAL MINDORO",4-B,0.0,1.0,22.4,0.0,0.0,0.0,8.8,3.4,29.0,56.2,120.8,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",0.0,0.0,0.2,25.4,18.4,5.4,50.2,0.0,7.2,0.0,106.8,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",47.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,10.6,0.0,69.8,297.4
365,"BANAYBANAY, DAVAO ORIENTAL",11,0.0,29.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,60,365,"BANAYBANAY, DAVAO ORIENTAL","11",0.0,0.0,0.0,16.0,20.6,0.6,0.0,7.0,0.0,0.2,44.4,365,"BANAYBANAY, DAVAO ORIENTAL","11",0.0,1.2,0.0,0.4,0.0,12.8,0.0,0.0,0.0,0.0,0.0,14.4,118.8
867,"DANGCAGAN, BUKIDNON",10,,,,,,,,,,,,867,"DANGCAGAN, BUKIDNON","10",,,,,,,,,,,,867,"DANGCAGAN, BUKIDNON","10",,,,,,,,,,,,,
