,,,November 2018,,,,,,,,,,,,,,November 2018,,,,,,,,,,,,,,November 2018,,,,,,,,,,,
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0.2,0.0,0.4,0.0,12.4,13.0,18.4,4.2,4.6,2.0,55.2,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",0.0,1.4,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,10.6,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",23.6,11.6,0.0,0.8,2.6,0.0,0.0,2.0,0.2,0.0,40.8,106.6
917,"CALINOG, ILOILO",6,,,,,,,,,,,,917,"CALINOG, ILOILO","6",,,,,,,,,,,,917,"CALINOG, ILOILO","6",,,,,,,,,,,,
1128,"ALCANTARA, ROMBLON",4-B,,,,,,,,,,,,1128,"ALCANTARA, ROMBLON","4-B",,,,,,,,,,,,1128,"ALCANTARA, ROMBLON","4-B",17.2,0.2,2.6,0.8,,,,,,,20.8,20.8
503,"AGLIPAY, QUIRINO",2,,,,,,,,,,,,503,"AGLIPAY, QUIRINO","2",,,,,,,,,,,,503,"AGLIPAY, QUIRINO","2",,,,,,,,,,,,
1324,"VILLAREAL, SAMAR",8,0.8,0.0,2.0,3.2,3.4,0.0,3.2,55.0,8.0,13.4,89,1324,"VILLAREAL, SAMAR","8",7.4,3.4,0.4,16.0,5.8,4.0,2.4,0.0,15.0,0.0,54.4,1324,"VILLAREAL, SAMAR","8",12.2,2.8,0.4,1.6,13.8,247.6,151.0,23.2,13.8,0.2,466.6,610
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,0.0,0.0,0.0,4.2,14.6,0.0,0.0,16.8,0.6,0.0,36.2,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",0.0,2.6,0.0,0.4,0.0,1.0,0.0,0.0,0.4,21.2,25.6,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",3.2,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.6,0.0,13.6,75.4
626,"KIAMBA, SARANGANI",12,,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,,,,
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,,,,,,,,,0.0,0.0,0,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",0.0,,,,,,,,0.0,,0,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,0
351,"CARMEN, BOHOL",7,,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,0.0,0.0,0.8,0.2,22.6,0.0,0.2,1.8,0.6,0.0,26.2,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,4.4,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.6,1.0,0.0,1.0,1.2,0.0,0.0,0.0,0.6,0.4,4.8,35.4
328,"AYUTI, QUEZON",4-A,0.6,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,1.8,328,"AYUTI, QUEZON","4-A",0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.4,1,328,"AYUTI, QUEZON","4-A",0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.2,6
865,"ILAGAN, ISABELA",2,9.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,10,865,"ILAGAN, ISABELA","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,865,"ILAGAN, ISABELA","2",0.0,1.2,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,7,17.2
934,"KAPATAGAN, LANAO DEL SUR",ARMM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,934,"KAPATAGAN, LANAO DEL SUR","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,
358,"DUMINGAG, ZAMBOANGA DEL SUR",9,,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,
338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2
353,"MALITBOG, SOUTHERN LEYTE",8,0.0,3.0,33.4,21.8,5.2,2.0,0.0,2.2,26.2,30.6,124.4,353,"MALITBOG, SOUTHERN LEYTE","8",8.6,23.0,0.0,10.0,0.6,0.2,3.4,0.0,23.0,35.0,103.8,353,"MALITBOG, SOUTHERN LEYTE","8",0.0,0.0,0.0,0.0,4.8,0.0,0.4,9.2,1.0,19.2,34.6,262.8
333,"BUCAY, ABRA",CAR,0.0,0.0,0.0,0.0,0.0,,,,,,0,333,"BUCAY, ABRA","CAR",,,,,,,,,,,,333,"BUCAY, ABRA","CAR",,,,,,,,,,,,0
1080,"SABLAYAN, OCCIDENTAL MINDORO",4-B,20.8,0.0,0.0,2.6,33.4,0.0,0.0,1.2,0.0,0.0,58,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.8,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",5.6,0.8,1.6,6.4,0.0,0.0,0.0,0.0,0.0,0.0,14.4,73.2
365,"BANAYBANAY, DAVAO ORIENTAL",11,0.0,6.8,11.6,2.0,0.0,0.0,0.0,1.6,0.4,4.6,27,365,"BANAYBANAY, DAVAO ORIENTAL","11",1.0,0.4,8.8,0.2,0.8,0.0,0.0,0.0,0.4,0.0,11.6,365,"BANAYBANAY, DAVAO ORIENTAL","11",0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,83.4,122
867,"DANGCAGAN, BUKIDNON",10,,,,,,,,,,,,867,"DANGCAGAN, BUKIDNON","10",,,,,,,,,,,,867,"DANGCAGAN, BUKIDNON","10",,,,,,,0.0,0.2,0.0,0.0,0.2,0.2
319,"NAIC CAMPUS, CAVITE",4-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,319,"NAIC CAMPUS, CAVITE","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,319,"NAIC CAMPUS, CAVITE","4-A",0.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2
